aae_text,sentiment
Wateva shawty wont or ball me for im get it for ha,negative
Let me stop b4 ppl say i was ring leader in dat shyt,negative
This man asked me if I wanted to be a dishwasher at this job lhh that's easy idc what it is I will do it,positive
I am really looking for talent I am so serious I am really looking for talent so that's you please tweet me back,positive
"A fast break calling my name. It's just like Dasia, Dasia, Dasiaaaaa. Lmboo",positive
Im not good to you bc you not good to me...... You really fucked up,negative
Walkingg round with my head in the cloudss swear ion wanna come down,negative
"ohhh , lol well ill be there ima get you higher then you was that one time",positive
Next research study Is there an innate quality which makes blacks more likely to be late than others,positive
The only thing that would make my day better is to see him.,positive
"They All Stunning On My Sister And Ha LiFight I Haven't Seen The Fight , But Fuck All Y'all Who Say My Sister Lost But I Think She Blues Sum",negative
You otp with her yeah but you belong to me yeah yeah call me crazy but I'm yours,negative
fool you ain't never lied but bets the believe they Lyin,negative
If I smash then she'll be glued this dick lock hoes down like a jail !,neutral
": Best Man Holiday had me all in my feelings. Awesome movie!"" HUNNY!!!.. My spirit wasn't prepared...lbvs",positive
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,positive
": lol im being so mean to my bby brother ."" you know he be dogging yo ass",neutral
Me && Pimp Been Broke Up Since Last Night && I Told Him We Not Getting Back Together Til 2:30,negative
I heard they got chief keef on GTAV lmaoo is tht tru?,neutral
": , ctfuuu i AInt Got My iPod"" what you twitting off of",negative
Im not mad u r bitch and im not givin him shit and bitch all u get is a meal bitch if u call that spendin money ok smh,negative
I think its the 711 coffee that got me Wildin out this mornin,neutral
you also have to remember this is where people come to create the lives they don't have and be one the people they are not.,negative
rotfl well just let me know cause I have all the utensils u could possible need,positive
A real gf won't hang around anova nigga Ioont now unless I approve I love her n I won't hang round a Gurl unless she approve,negative
Things will never be how they use teww between me and him,negative
My Last RETWEET !.---->>>>>>>>>>> YESSSSSSSSSSS I SWEAR THAT'S HOW IT BE MAN !,positive
"I want to refresh my mind. delete all my problems, undo all my mistakes & save all the happy moments.",positive
Until a bitch/nigga tell me their feelings towards me to my face. I dnt have 2 fucks to give.,negative
My whole life was a battle..... I made moves wit horses.. No saddle... Jus raddle,negative
I made choices in the past to get me where I'm at,neutral
Only had a couple of hours of sleep but I have to get up and take care of some stuff,positive
": yall need to get off twitter with these weak ass jokes""gtfoh",negative
I'm so pissed I haven't played ball in almost 2 damn weeks! This rain gotta fucking go!,negative
", niggas anit evenn knoo what it mean untill juwuanee told him !",negative
u da type a nigga dat do drill and move out of town,negative
Im smokin on dat greater weed like I just can't get high enough. But in all reality got damn it man I'm high as fuck #IMG #ALM,positive
guessing the iphone 6 in september will be my last phone .. sigh,positive
Sometimes u just got to let things play it self out,negative
I hate Whn yu try 2 B honest with ya girl & put her up on game & she gt offended By it knowing she tha only girl 4 me,negative
I'm on 35th onna expressway and my car just ran outta gas I'm stuck here.,neutral
I will have you hitting Mariah Carey high notes on a regular ....,positive
I can't stand asking my mom for stuff lol she makes sure,negative
If u dont stand for something u a fall for anything,positive
My leg feeling a lil better still tender but I'm gone practice tomorrow try to atleast I already told coach,positive
But when somebody continuously lie and disrespect its only so much you can take.,negative
": Im Gonna Kill You""better bring more than your watergun buddy.",negative
Damn I just took a lil nap and woke up on some other stuff! Lol,negative
dm yo number so i can let u know when ima be down,negative
I remember that one day me rukaka kenken and tmack walked up the Jill speaking in nothing but metaphors ...,negative
I'm doing home work 10 for a C 15 for B 25 for an A,neutral
lol..popcorn are you guys watching FC kobenhavn vs galatasary match,positive
"You Blood or Cuz, let's get our mamas out these hoods",negative
guess ill get my ass up and get some breakfast lol lol,positive
I'm high af this some fye ass weed got me where i wanna be,positive
Indiana should just put Gerald green in and throw strictly oops for about 5 straight minutes,positive
Just seen a dude that look just like my cousin TK shit scared tf outta me,negative
Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,neutral
"Im Mhadd Atdd My Bestfriendd , Hee On Somee Othaa Shit Ritee Now !",negative
"It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it",negative
lolol No sex for oomf its that time of tha month,negative
Ain't got shit to hide frm my bbymama shit got da password to all my shit....,neutral
I swear I be showing a lil too much sympathy. I'm going back to the old me.,positive
"There comes a point in your life when you have to realize who really matters, who never did, and who always will",positive
I HATE STUPID ASS PPL WHO KNOW THEY IN LOVE BUT TO DAMN STUBBORN TO MAKE A MOVE ON IT!!!,negative
When you can't tweet cause you wants someone to believe you are asleep....,neutral
Let me get off twitter fa i get fuked up lol,negative
already wrote in 2nd proofreading phase...The Hostel among 1st stops lol,negative
"Hotter Than Them Noodles In The Pot , Niqqa Screaming Y Like Not",positive
"Besides the people who been in class with them, and probably not even them",negative
"Can't be happy by yourself for too long. In order for it to last, it has to be shared.",positive
": Shonda Rimes is a genius!! Scandal is back and on fiyah! I wish next Thursday would hurry up!!!!"" DITTO!",positive
Exactly why I need a change... Not being able to do what you want when you want it sucks!,negative
My lil cousin gone say do you live for twitter danggg,negative
So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??,neutral
They offed him so it matches up with the new 52,negative
lmfaoooo y I gotta ask him I asked u. How u know he know,positive
"I LUV as Jakes You gon let me in my house"" lol he was like yea I gave him a ride and wat? #realness at its BEST #Graceland",neutral
That's crazy because that was a shot by Lawson lol smh,negative
I need to b a better daughter! Call my mom & dad more often to see how their day going,positive
These scrawny niggas that act like just cuz they throw up a sign means they tough,negative
I ain't been to slp yet smokeing this blunt then going to bed,negative
You Mad tho ! Cause You & Yo Girl Fucked Up ! Oh Ok ! On My Auntie That Shit Dead ! But I Was There When She Was Playing You & You Knew It !,positive
I was in the cut lol I would have called your name but you out my niggs,positive
"I call her Bama Booootttaaayyy, but y'all call her Taylor. Teehee! :-*",positive
Feels like I got hit in the back by a chair,negative
"give enyeama a hug for me in the stadium. Tell him I said so, he has done us proud.",positive
Might b wrong but i believe im right bout this one,neutral
": I wanna dog just so I can feed it some chocolate and see what it do"" Omgg ! Its gone die or get hella sick",neutral
Im going to sleep wen I get off the phone wit Quia!!,positive
LeBron refusing to go to podium post-game is pretty weak.,positive
"Shiddd , don't let me find out where you live ill make sure you come out that shit !! Tuh",negative
Coming up on my 12th hour. I think that may be all I'm good for today.,positive
Guess I'll lay on this couch nd let Devon have tha bed to himself!,neutral
"I need to be on when I was 17, all that bullshyt!",negative
datz rea i aint heard dat bfo! keep it trill den #AightNa #DatzWatImTalmBout,positive
"I eant to get my hair done sat. That is gonna have to wait ,because the money is caling me.",positive
lmao does that include talkin shit abt me to other girls that I'm tryna talk to lol they tell me what u say....,neutral
I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash,negative
Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans,negative
I just smile and laugh might even blow yo ass a kiss,positive
Planning this all star weekend trip with my girls!!!!!! New Orleans here we come!!!,positive
Man only if me & shanta was cool she would tell everything bout this but o well I don't need nobody to prove sh*t I proved my point enough,negative
": Oh yeah, most definitely mane, blessed beyond measures mane, schooling it right now.",positive
if the head rite mekaa there er nite lol no lie,positive
I Would Rather Be Alone Together....You Shouldn't have To Be alone,positive
How much my phone goes off ' it seems like I have thousands of junts but it don't be nothing but my Instagram blowing up !,positive
He gone #Turnup cause he kno we all Watchn him play,positive
This is why I'm SINGLE now. Don't got time for the BS,negative
Sometimes ii Feel ii talk Da Most Shit..Bt Den ii B Like..Who Da Fukk Gone Check Me..??,neutral
": I will set your dog on fire homeboy""lol she would whip U ""lil Naye",negative
better go release some stress before u explode on somebody lol,negative
That nigga said when he get out he getting name plate earrings #GayNation,positive
the robot works lol doesn't look how it's supposed to. Lmaoooo,positive
Bout time a nigga make it in tha house tha mall open,positive
"Yeah , She Said How Many Months Is Your Friend & When Is Your Baby Shower? I Said Idk & 8 , Thad Why I Had Asked You",ERROR
bomb in my sneaker but i understand if you're switching it up,neutral
I stay up late nights cant sleep sometimes just wanna hit these streets b lonely n these sheets n my brain cant take the heat,negative
iPhone is the new wallet when it comes to showing of your newborn son. Just ask me.,positive
Can't wait for duflocka rant 2 shit gonna be hard ass fuck like tht metal jacket2,negative
Wat happen to da early morning text before I went to Skool telling me goodmorning bae have a nice day,positive
Btw Gm world goin to bed soon as Bust ass a couple more times,negative
: fuck school man it aint how it used to be lbs,negative
I really have a problem when ppl lead on mfers . And they got a bf/gf,negative
That's crazy love make u do crazy shit lmfao but real shit BOSS,positive
I Go To School To Get My Education & I Be Damned If Yall Fuck That Up For Me !,neutral
"Females be talking about I want those new KD's"" and dont even be knowing the team he play for # Die",negative
I hate when hoes try to throw me hints when they broke,negative
oky grl so tell me why i got on the site it say its a error here i go wthell.going on !,negative
Wtf it's so fucking hot I keep having fucking hot flashes like a old fucking lady,negative
If You Know I Ain't Gone Cheat or Leave !! Why Take Control Of Me !?,positive
This why I don't do that sister brother shit u HOES ain't real,negative
All these ratchet hoes say I ain't shit well least I ain't broke bitch !,negative
I keep my circle small but as days go by its getting even smaller,negative
i like wen money makes a difference but dont make you different,positive
how you gone tell me to dm you but you dont dm back -_-,negative
"I always been the same ! I never changed .. People love me for it , and others stopped messing with me because it either way ! Truth was me",positive
I find it quite sad that I haven't went Christmas shopping for my loved ones yet.,negative
Wish My Bestfriend Would Go Half With Me On My 5c,positive
"Im Learning Sum ... I Will NEVER Let A Nigga Control Me , Im Bossy Myself .",negative
you and should be asleep you guys have class tomorrow n it's almost 2:00! Shame on yall,negative
lmao shidd as long as that bitch shave... U kno how they be...,negative
when drakes marvins room came out everybody was singing this joint feeling some type of way,positive
Boi me an my gf broke up smh. Now i need a friend 2 talk 2,negative
"When They See Youu Doing Good Dats When They Wanna Bandwagon .,.",positive
I had some black socks on & zay gone say is that a house arrest braclet . Lol dummy ( :,neutral
lol ok thought so I jus didn't know who khloe was,neutral
"Workin too become a winner, she don't want no runner up",positive
I am the mirror man.... U can see wat u wanna see but I'm wats there,negative
bitch yo favorite color is not green you is NOT from Louisiana or yo favorite show is not law & order,positive
I love how people from different states say pressed lol we say depressed down hea,negative
The Holy spirit is not the author of confusion..and does EVERYTHING in decency and in order!!!,positive
I wish I could volunteer for jury dity man it seems fun,positive
Soon az I I get off thursday my azz doing 100 just to get some done to my head,ERROR
"brown skin spotty spotty skin...use makeup to enhance"" her dark skin beauty",positive
i cant believe fall is dead gonn be here like 3 mnths,neutral
Guess Im Bout To Put On Some Clothes And Find Some To Do,neutral
I swear idk wth was going on in this movie lol,negative
wow so if any law to break people wanna kill one another??,neutral
Lost another 1 2 the gay club.......but iknew it was comn...it was oni a matter of time...,negative
"you lucky you get that. He use too to only put u"" lol",positive
I came up from the bottom yu dont even kno it,negative
I come first if I put you first. My Rule nigga K.,positive
Fat Fat wanna go up to the play skate .imma take him but I know all the other ones go wanna go to.,positive
"I Need To Learn How To Control My Temper , Ima Real Ass Hothead .",negative
My eyes t2 young for all thus porn & shxt on my TL !,ERROR
OMG. I wud have died! The bag was sitting on a pillow on the end of my bed. She got to it quickly. Never saw her move!,ERROR
Hmm have some herb left and it's chilly out? This might be a temptation,positive
I get Mad cause I Care.. I think I need to leave that Shit over alone...,positive
Trying to turn a girl into a woman seems to be an impossible task at times,neutral
Hit me up when u back in the city sir...I have a big release coming and I would like to include u in my work...lets do business!,positive
"im chilling until later, cause my bed & i taking care of some unfinished business !",negative
Today it's been 5 years since my mama died. R.I.h I live u ma,negative
Wtf. Fire truck come & leave.! & them dumb fuckers still never called the police.! Smh only in jeanerette,positive
SHMAAAN! I get sad and also MAD everytime a #Futurama episode ends. I just NEVER want it to go off.,negative
I don't wanna seem dumb or nothing but I thought the bills always had to be in the Super Bowl I thought it was an obligation.,negative
yeah he said old freind I am gone retire next year what you gone gives me for present. Then arsene said old red nose the epl,positive
Lord knows I don't want to go to work. But then again I don't care much because my hair matches my lipstick,positive
"Oh yea, oomf if your reading my next tweet is for you boo..",negative
Its all good though bet u I have the last laugh on u hoes believe that!!!!!,negative
All my bitches got iphones and im sittin on a fukin Android,neutral
Red girls the same way .nRed people in general are highly conceited .,negative
"I'm really thinking about what tat I want on my arm , it gotta be about my daughter .",positive
At work on break I hope they send me home cause we slow,negative
No I'm not a Angel either but at least I'm trying,positive
I don't even remember what the fuck I did last nyte,neutral
lmao man u really need to grammar check your tweets you sound dumb ass fuck!,negative
The jig and Cam Newton humbling center jokes are the funniest thing I've seen on twitter in a minute lol,neutral
#greysanatomy callie left with the baby arizona. u mess ur family up she took the baby with her wow,neutral
": If It's A Lie The Doctors Told It "" congratulations on your bundle u gonna get killed if u every cross water",negative
Thinking bout my old bitch like fuck my old bitch pocket full of Benz like my old whip,positive
"i need some shades, some sun tan, and some bleach. My face is already getting blacker",positive
I swear I don't want nothing to spoil Zae day mane,negative
I put it down so long and so strong dat ya bitch will leave home do wrong and ya bitch is off the leash........my nigga #BurrBurr,negative
Looking at all my military friends I miss them but sure don't miss the military life,negative
Kobe stay asking about her too.He stay telling me call her...I told her ima take them somewhere before they go back to school,negative
Beautiful temptation clouding my mindn Under your controlnCaught in desires and dreams of youn You've captured my souln~Me 7/1/13,positive
on god I sint I got u G im coming back tomorrow morning,positive
"This guy looks 40 years old talking about I'm in high school""... Lol",positive
Jayden sleep..so I'm abt to tke me a lil nap,negative
I'm on dat ratchet shit my nigga I'm on dat ratchet shit.,neutral
"She Just Waiting On Her Baby Daddy To Show Up"" #Just holding her down for him..lol",positive
The only thing I'm sure I'll hate about going to the army is this haircut man....,negative
I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.,positive
Lmfaaoooo we was just driving and the power just went out in south holland,negative
"Tell that thottie"" to get her thirsty axx on lol we dont love them hoez",negative
wateva I'm 22 u 20 so how u gonna tell me wat to do,neutral
"I Need You To Tell Me Dis Is Love , You Dc Well Dats Ok !",positive
I knew that OTF and GBE shit was gonna collide sooner or later. No way that many niggas is gonna be cool n stay on good terms w each other,negative
Bout to call my grandma so she can get everything she need to cook..!,positive
Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.,positive
I Feel Like The Only Bestfriend My Boyfriend Should Have Is Me,negative
Thowed ass bouta be otp talking bout every play in the game like I gaf,ERROR
": I wanna see that scary movie Friday and imma be smackkkedddd"" lol o yea?",positive
": What's one thing you were afraid of as a kid and are still afraid of today?"" The dark",negative
Damn... Really don't feel like walking my child to school this morning.,neutral
"Tryna find a bad bitch that tells no lies,chance of that is slim to none",positive
I hate when it's pandemonium over some bullshit..I see the same tweets in different words,negative
Thought we would watch a movie tonight..change of plans tho,neutral
Gettin tired of seenin her ass n my TL Fuck a retweet,negative
every person I've run into that keeps asking for that mode seems to be either children or illiterate to the fact universe is gm,negative
I had a dream paris came back and it was so real like. I woke up about to call her and tell her about it,positive
you see Emily acting crazy? Dishes will be done in December,negative
I'm so Glad I stopped fuccing with you sometimes I just wish I never met you #lessonlearned,negative
"I just learned that my baby developed its sense of touch this week,",positive
I ain't in lunch to watch who took your chair !! Tf I look like.,negative
I get called bipolar ALOT but I'm really not tho lmaoo,positive
This nigga is a twenty eight yr old rookie tho lol,positive
"All my thoughts took action, cause my actions took thought. #GoodMorning",positive
"I wish I would have went home that night I swear, life would be so different",negative
": Almost time for me to get off.... I can't wait to hit that bed!!!!"" I'm going to beat the brakes off it..*Daniels voice*",positive
Think you money well yeah all I see is money lmao smh,negative
"Protect her like your daughter, Love her like a wife, Respect her like your mother.",positive
"* whaaaat , they broke up / . im not finna hear the end of it .",negative
a nice hot bath & some moscato & netflix my night...me myself & I,neutral
Can't wait to leave messy Albany even tho I don't do drama,negative
I have the pettiest girlfriend !... And I'm not forgetting a letter either,positive
I need to drop tht mixtape it's gotta be dope with all this time he's taking,positive
": Is there anything wrong wit talking to a pregnant girl ?#qtna"" #ifyouhavetoask maybe it's not.",negative
"If STRESS Was A Drug , I Would Be HIGH ASFFF Everyday .",positive
Bills paid 400 in my pocket ...... Came into the new year on a positive note ..... Danced all night n sore af....think Ima head on in,negative
Well FAM IS GTN UPSET...CUZ IVE WENT BK 2 MY OLD WAY OF EATING!!!!&DA LUK ON MY MAN FACE 2DAY!!!!!!I WAZ ROTFL!!!!!!HOUSE N ORDER KIDDOSDEAD,negative
i Just Want You To Be Ah Women nd Not ah Little Girl,positive
Bc was the shit back in 2010 datz wen it wss really poppin,positive
yep I wish it would it will fall I am going 2 show out that woman need help that's her favorite word,positive
NO WEAVE N NEVER NO MAKE UP BUT I'M LOOKN LIKE A LIL KID.. LOL..,neutral
He A Smoove Bitch Now....He wanted to be like Floyd just not good enough young man,negative
my bad brah...the mini me chalked it so I did too...,negative
"already got it, think I played it out already cuz it wasn't that many songs",neutral
Okay if we that cool and u already know how we rocking your not getting no text or kik sayinn i still fwy u should already know this shit,ERROR
Goodnight yall there is no need for me to be up when my King is asleep,positive
"!!!!! : I hate letting my pride go, I just got that shit back.",negative
You yo daddy's little girl but you a grown. Guess I don't see it how you see it cuz we not related,positive
LOL 2 BIG ASS LINEMEN TRYNA GET AWAY N SHYT SLOW AF!!,negative
DA WAY I MOVE MY BODY I CAN MAKE A MARRIED MAN LEAVE HIS WIFEY #ONME,neutral
Imiss alot of ppl but i have to face the fact tht thy are Never coming back,negative
I can't wait to get my new phone so I can give him this phone..,positive
Michael's classmates were in tears when he explained segregation & the Civil Rights Movement to them. The didn't think it actually happened.,negative
"She kno I fuck with her, But she know what comes with a hustla #StoryOfMyLife",negative
How many times does the ME say he only goes by his notes. He is under oath he is not gonna lie for the defense #zimmermantrial,positive
Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO,negative
"Wtf , hoe tighten up ! Ah nigga ain't never want trendy ' DF && good for her !",neutral
lmao watch who pic i put up on throw back thursday .,positive
Niggas talking about they got them bitches use them then tf you got a gun or a knife for so you can think you look hard!,negative
Aww the head manager for West Orange BK called me and thanked me for working there... && said he want me to work there in the summer ..,positive
"I used to give a fuck, now I give a fuck less."" No more chasing, pursuing, inquiring....",negative
Congrats to gettn a chance wit the sixers this dude is a scoring machine,positive
If I didn't get emails to my phone I'd be out of whack...,positive
"Why does Bosh Spice keep end up shooting 3s.... U r a PF, get o sensitive azz in da post",ERROR
I swear niggaz dick ride way too much...damn these niggaz positions aint that far away....,negative
#I want a relationship when no matter how hard it is for u to stay jus dont give up on a nicca cuz anything is possible if u have FAITH,negative
August 16 its going down at studio 51 come turn up wit ur fav,positive
steve novak clowning nate robinson? fuck outta here white boy. u been passed around more than a prostitute in the nba,neutral
"All I heard was lbj say God damn , I don't know what him and wade was taking about . Lol",negative
I like pussy thaa pop but prefer kind thaa don't speak n.n.n.n.n.n.n.n.n.n.n.n.n.n.n.n.n.n.nn#nSo stfu,positive
I NEED A FEW OF DIM BITCHES N A COUPLE LOUD PACKAGE!! LOL..,positive
"Oomf said I don't get mad I get even "" We have something in common ^_^",positive
"nah ion remember that, you tryna play me. And besides I ain't got no money lol you needa be payin for me since it was my bday",negative
You said you you fucked my main/only so you fucked yo self,negative
Not everybody knows how to work my body ...knows how to make me want it...but boy u stay up on it,positive
We need to get the bed today and go look am for a reef for my granny and his mama graves,neutral
But now I did got me thinking I should have been did that,negative
Ohh Lawddd . Hopefully i Have A DRAMA F R E E Day .,negative
If you not tryna make money with me ion even want cha round me,negative
Dey still dnt get it.. Da 1s who hate u still gonna talk.. But dey dnt dat ur ahead... It feels good to be da under dawg dey neva c u coming,positive
It WAS good to see the Winterfell Lions win yesterday. First time in a long time on thanksgiving,positive
at tha pad posted brooooo but shid ima come fuck wit yall tho,negative
Where my money i need it now... Dnt make me put the smack down.. Boy you better put the snacks down ...,negative
": EHEMM.. all my ladies pop yo pussy like dissss !""dont stop dont miss man dont stop dont miss just do it now do it goood",positive
"What if everytime it rained, all schools had to take the day off ?? I would be happy as shit !!",negative
I'm too much I'm too much hot to go is what they call me lol I'm too much,positive
-iUse 2 love dat Nigga now im like fck dat nigga,negative
"I know . I know , but I gotta deal w/. the consequences of waiting until the last minute .",positive
Sometimes I feel like I don't get to spend enough time with him,negative
lmao oh i didnt see it... But yep gotta be there at 7.,negative
Fmot a official_dbfreak 4 a S/0 retweet If u wnt 1,ERROR
"Soooo the got us playing the clippers tonight, warriors tomorrow and the spurs on Friday???....yea I smell a set up!!",neutral
Im not no toy u kant play widd me wen u want to,negative
"lmao you keep going hard on me LOL,, I'm kinda scared now",negative
"No fina get in the tub and listening to Tamar Braxton x love and war ! hmu , tryna get out the house",positive
"Wish I was with my babe. But overall, o enjoy my day with the co-workers",positive
that's what'sup sexy!!!! I'm doing the same just working myself get this day over with I'm off tomorrow :-),positive
#FirstDayOfSchoolThoughts i gotta deal w/ all deez bald headed hoes again...before u come at a nigga wrong..grow some hair,negative
I like seeing my hair grow..this shot turning out nice...dreadhead,positive
Hoes An Niggas Gone Talk About You Bad Behind Yo Back,negative
Simple Minded Bitches Always Worrying About The Next Bitch When They Just Need To Play They Role #100,negative
lol ok beggars can't be choosy u betta take wats given to u,negative
Raina come on so I can tell you something .i forgot to tell you .,negative
I'm glad we don't have school tomar because I need this extra day after this,positive
So fucking sick of all this HE say SHE say shit .. who is him & who is her !!??,negative
don't worry i gave bre a knot on th head lol she gave me one too we wasn't playin,positive
I saw it I think nisii was driving it said 19 year old female driver this shit crazy,neutral
Baby do you want me cause I'm official or because I'm beneficial.?,positive
"Imma street nigga got beef witcha touch everything in yo family,my baby mama big booty bitch her grandmother can't stand me",negative
"We single, but we both lying. We just don't know what to call it",negative
talkn bout Ciara bt why yo ass aint call me back,negative
The last bowl of cereal is better than the first TRUUEEEE$,positive
I'm a Trapp nigga bitch over her she sucking this got heat all around the streets fuck with use shoot you ain't no work nigga,negative
Just spent 5 dollars on batteries for this dumb ass calculator just cuz aint no where else to buy em,negative
"What! I earned probation for quitting out of public match games too often on Black Op ll,but problem is I never quited a match.",negative
"I've been aight , u know still trying to graduate, what about you ?",positive
"I want some Frosted Flakes, but its only a lil bit left and she would get mad if I ate it",negative
Me n tee tee just got back from the station n ismashed already smh,neutral
mr white don't know the connects or the streets I hate to say that lol,negative
Has anybody seen lebron? Back 2 his disappearing acts I see,negative
She told me her fantasy is to get fucked on a bed of money,positive
Smh is it bad that I can't sleep with out my Mr,positive
"That's why I don't be coming home, there's always an issue when it comes to me getting back to Durham",neutral
negro that aint no pregro shit try white zinfandel with fresh mangos itll change your life,positive
Oh but i was at one red light and i said fuck that i took off,negative
lol i seen u onda book wit tha pics!! lol and shit i feel u i real life wish i was 21,positive
I don't like people that hold stuff in and then bring it out once you say something that bothered you about them,negative
Sharing is caring bitch Who tf taught u that what mines is mines,negative
When may come ima wild out! Shxt skool gonna basically be ovet,positive
I pull ya card I know you pussy by ya conversation,negative
Oh so u can be on tweeter but can't contact ur bestfriend? That shit crazy! & plus I tweeted u the other day but no reply. hm,negative
Im not going to sleep so im going to clean and wash till it's time to get baby ready for daycare and head my butt to the money :),positive
How u just bought yo self a car. I dnt buy cars my baby daddy buy those! Neva have Neva will!,neutral
I was at your school today lbs. I'll be there tomorrow too.,neutral
Bout to get this nap in before I get up wash dishes and cook again..,positive
I'm secretly falling for sumbodi but I'm scared to tell him,negative
"I got a headache"" 0.848 0.004 0.008 0.14 393121951402586112 Wed Oct 23 21:09:11 +0000 2013",positive
"boyfriend cooking dinner, late ass hell though but I just got here so (:",positive
"Congratulations to Jamies Winston on winning the Heisman Trophy, can't keep that nigga down man!",positive
I wonder who all gone really miss me ? No one ? Oh Okay !,neutral
Well get ready for CoL to place like 4th or 3rd was 110% a factor #Unite gaming lol,positive
lol ok imma tell him bring me to your house...but he came and got me from ya house that day I was w/ Bria you ain't see him ?,positive
I need to have a real night seminar with somebody lol seriously tho.,positive
You can't look me in my eyes in say you a real nigga. Um a real nigga I got real hitter don't make me send them out.,negative
I said hi to Eleine today and idek what she said cause she said it to low,positive
Otp w/ early in the a.m. Im n soo much pain,negative
think MY niggas tried to rob me thats some FUCKEE UO shit .,negative
"at least you'll be doing something,I won't have nothing to do until April or may.",positive
Imma loyal azz person...Well until ppl try to treat down bad thats wen I could gaf about yh cause yh sayin the same thang about me...Actions,positive
Omw Home From Church ... MovieNite Was Funn ... Now Ah Meal Nd I Ah Be Decent!!!!! :D,positive
"lmao ! hey LaQuanda , i got 4 people on hold but i can talk !",neutral
yea my name is yungisthename add me ..but practice b c im playing somebody right now,positive
: hahaahahaha. Chai!!..ehard r)f.. E fuckn hard giv sme pple... go testify... Hehehe!!,negative
I'm a man with much pride and in stubborn as can be....,positive
I fasho am going for some top free agents at CB or some top ones at WR to make a bigger threat,positive
": If a nigga never tried to kill you then your pussy not good...""well damn i aint nvr had no good pussy then.",negative
My pops hoggin the bathroom just wanna shower and go to sleep too tired from work,negative
really fuck all yall doe all cause I ain't stun yall cause me and my crew we #bfpl manman said dat,negative
"What if everytime you yawn, a ghost puts his dick in your mouth?",negative
Lol he told me to Shut tf up cause I said I don't want to be healthy,positive
": are u playing or are u acting tough ???""ctfup ""acting tough"" stop dickeatin",negative
white people ...stop taking twitter serious ..we know how to spell ..it twitter not english class.,neutral
Now dis dumb bitch txtn me I dnt got time for ass ..... ha ass irritatn,negative
Ugh... why do I punish myself by going to Royal Oak in the summer... so many couples... #hatebeinsingle,positive
Lmao BrayvSo Lame G ' But She Cool As Hell Inna Way Thats Why We Twinning . So If She Lame Im Lame . We Them Niggas In All Honesty,positive
