tweet_id,aae_text,golden_sentiment,annotator_source,resolution_method,needs_adjudication,deepseekr1_pred,gemma3_pred,llama31_70b_pred,mistral31_pred,phi3_medium_pred,phi4_pred
A1_017,"I only did the things I did so u cud c what u were gttn , did all tht just you cud c hw great i am",positive,A1_Osakpolor,single_annotator,False,ERROR,negative,ERROR,negative,positive,negative
A1_018,Thats all they say yu act like Koury yur real child,neutral,A1_Osakpolor,single_annotator,False,ERROR,negative,neutral,negative,negative,negative
A1_019,"If women owned their sexuality instead letting men define it for them, patriarchy would colllapse.",positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,negative,positive,positive
A1_020,Cause the way my hands set up I will slap tf outta somebody child,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_021,Mariah. The leaves on the trees blow west when the wind is silent,neutral,A1_Osakpolor,single_annotator,False,neutral,neutral,neutral,neutral,neutral,neutral
A1_022,fuck tryna be nice...hell aint bout to play super save a nigga,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_023,Soooo which 1 of y'all suck dick? Please not everybody at once...,positive,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_024,I've never been so irritated with someone like I am now. Kind of shocking.,negative,A1_Osakpolor,single_annotator,False,positive,negative,negative,negative,negative,negative
A1_025,"That's it for me, I can never take anything serious lol",positive,A1_Osakpolor,single_annotator,False,positive,negative,positive,neutral,negative,neutral
A1_026,"I Exposed Her Too Real And Now She Ain't Lame, Remember When She Use To Run From Me Now She Like Pain",negative,A1_Osakpolor,single_annotator,False,positive,negative,neutral,negative,negative,positive
A1_027,if everybody said I was talking about you then I must have been the topic of conversation,positive,A1_Osakpolor,single_annotator,False,negative,negative,negative,neutral,neutral,neutral
A1_028,Even the words to the songs are different now...#Jesus my breaktrough,neutral,A1_Osakpolor,single_annotator,False,positive,positive,neutral,positive,positive,positive
A1_029,good ass point we don't know who that mans father is !!,positive,A1_Osakpolor,single_annotator,False,negative,negative,negative,positive,positive,positive
A1_030,im about to take off my jacket && sleep in my bra and panties .,positive,A1_Osakpolor,single_annotator,False,neutral,neutral,negative,neutral,neutral,neutral
A1_031,u shitted in a washing machine lbs u better get Bro og New Towels,positive,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_032,Of it ain't tysheen or my mom Idc Idc Idc idc nd I don't care !!!,positive,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_033,Niggas gettin killed everyday ...so live life like its ya last day,positive,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_034,would u still bang wit a nigga tho is da question?,positive,A1_Osakpolor,single_annotator,False,positive,negative,neutral,negative,negative,neutral
A1_035,I Dont Even Let Shit Brother Me Anymore ! IT'S POINTLESS I'm Grown Af And I Refuse To Look Like A Damn Fool !!,positive,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_036,Oh how I wish I could relive my graduation day lol,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_037,I came up from the bottom yu dont even kno it,positive,A1_Osakpolor,single_annotator,False,negative,positive,neutral,negative,positive,negative
A1_038,Hell fuckin yeah : When you grow up w/out food guess what? You splurge on food when you got the money nigga,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,negative,negative
A1_039,Don't take the advice of people who capitalize every word in a sentence.,neutral,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_040,Me: tell me one way im a asshole and I'll accept it.,positive,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_041,"I think ppl were more upset because of the fact that when another race kill our ppl, they get away with it",negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_042,Catch it catch it one of yall mfs better catch that tweet,positive,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,neutral
A1_043,I woke up early on my born day I'm 19 it's a blessing the essence of adolescence leave my body now I'm freshing #blessed #addiction,positive,A1_Osakpolor,single_annotator,False,positive,neutral,positive,positive,positive,positive
A1_044,"She can have a Grammy ill still treat her ass like a nominee"" 0.804285714286 0.0657142857143 0.0528571428571 0.0771428571429 375095709479231488 Wed Sep 04 03:19:20 +0000 2013",negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_045,I deserve a damn bottle to myself after all this hard work I've done,positive,A1_Osakpolor,single_annotator,False,positive,negative,negative,positive,positive,positive
A1_046,What I never understood why ppl make excuses of -having a baby to hold them back in life- that's a blessing not an excuse,positive,A1_Osakpolor,single_annotator,False,positive,positive,negative,positive,positive,positive
A1_047,Eatin a burrito and wondering y she ain't text me yet # meandmyproblems,positive,A1_Osakpolor,single_annotator,False,negative,negative,positive,negative,neutral,neutral
A1_048,Some ppl just rather have a boss than to be their ownn#OhWell,negative,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_049,Y do all the mob wives look like mob husbands #ICK,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_050,Just cause I don't give af don't mean I don't care,positive,A1_Osakpolor,single_annotator,False,negative,neutral,neutral,negative,neutral,neutral
A1_051,"Gotta get all our furniture & Shit out the storage tomorrow, I'ma have a LONG DAY!!",positive,A1_Osakpolor,single_annotator,False,positive,negative,positive,negative,negative,negative
A1_052,So sick of sorry motherfuckers! From now on if you can't do shit for me I for damn sure can't do shit for you! That's how shit going down!,positive,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_053,"They Spazzed On You Like Wtf!!! Get This Piece Of Shit Off My Refrigerator Tf Is You Doing With This Off Brand Ass Shit?"" LMAO!!",positive,A1_Osakpolor,single_annotator,False,negative,negative,positive,negative,negative,negative
A1_054,bruh check dis out stop writing my lady she ain't feeling u bruh so chilli it's over bruh,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_055,You acted like you wanted this but then you lead me on...,negative,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_056,Lmao dude yo shxt be hitting from the time yuh get up until the time yuh get yo big wide ass in the bed at night lolx!,positive,A1_Osakpolor,single_annotator,False,neutral,positive,ERROR,neutral,positive,positive
A1_057,Don't do stuff to me u dont want done back to you . Not spiteful Fareal but ppl gotta learn how I feel . Goes for everyone !,positive,A1_Osakpolor,single_annotator,False,negative,negative,positive,negative,negative,negative
A1_058,You don't want it like that Try to stop it and squash it For I dome yo bitch ass,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_059,It's Bad Enough At A Time Like This These Tweets Sucks Ass,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_060,that shit got me heated a lil bit but u not the only rich homiee up hea but i be tweeting that ALL THE TIME GO LOOK,neutral,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_061,wondaa Didd my bae Get a demm Texts Frumm mee ; )) Bloweeedd ha Shit up Like She Did Mines . !,positive,A1_Osakpolor,single_annotator,False,positive,negative,negative,positive,positive,negative
A1_062,G that cheesecake brownie from starbucks will make u smack yo bitch its so good...nbs,positive,A1_Osakpolor,single_annotator,False,positive,positive,negative,positive,positive,positive
A1_063,"but when I text u, I don't get a response, hmmm.. I wonder whyy,",negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_064,She just told me about how she told her mom about me nShe:.nSays it funny she might like me*__*,positive,A1_Osakpolor,single_annotator,False,positive,positive,neutral,positive,positive,positive
A1_065,Say he'll tell you all kinda things to get in your pants .. Baby it's a fact that once it's gone you'll never get it back ..,positive,A1_Osakpolor,single_annotator,False,positive,negative,positive,negative,negative,negative
A1_066,Bouta blast some music wait for my boyfriend to get back,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,neutral,neutral,neutral
A1_067,- laughing at ashley in dis hospital bed && she soo little lol ..,positive,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_068,"I swear when she get back , she making a nigga dinner",neutral,A1_Osakpolor,single_annotator,False,negative,negative,negative,positive,negative,negative
A1_069,Ready to.get back to gambling tho I went in hit for like $50 tho,positive,A1_Osakpolor,single_annotator,False,neutral,positive,neutral,positive,negative,positive
A1_070,Finna find some to get into cuz it's boring azx hell.....!,neutral,A1_Osakpolor,single_annotator,False,neutral,negative,neutral,negative,negative,negative
A1_071,New haven strap hangers are rude an obnoxious. No one offers a pregnant woman a seat on a train! Assholes.,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_072,"if I tell youu something that mean I trust youu so dnt go run yo mouth to another mf MEANING , if youu do then you began to lose my TRUST!",negative,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_073,Ain't Knw Running From Da Savage I Most Likely Gun Ya Down!!!nWebbie Be Snapping,positive,A1_Osakpolor,single_annotator,False,ERROR,negative,ERROR,negative,negative,negative
A1_074,"All this FUCKING POLLEN OUTSIDE GODDAMN"" 0.948571428571 0.0428571428571 0.0 0.00857142857143 322163999884070913 Thu Apr 11 01:47:37 +0000 2013",negative,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_075,Indya only want 19 kids so she can have a TV show...such a user...,negative,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_076,Fuck A Fake Friend I Got Family I Dont Even Speak,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_077,"They say its better to love , to never love at all '",positive,A1_Osakpolor,single_annotator,False,positive,negative,positive,neutral,positive,negative
A1_078,Pack your shit and get the fuck out. go stay with your parents,negative,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_079,lori worst bestfriend right now she couldve told me where she was at earlier,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_080,It seem like when they need a favor they never leave you alone.,negative,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_081,Well aleast this hoe got a job but she need to stop stuntin so hard,negative,A1_Osakpolor,single_annotator,False,positive,negative,negative,negative,negative,neutral
A1_082,Miami nights it was all a dream if I could get my money right I'm bout ...,positive,A1_Osakpolor,single_annotator,False,positive,neutral,neutral,neutral,neutral,positive
A1_083,I'm Like That Bob Looks Fly But Them Lips Oh My I Camt Wait Till You Plant Them Kisses On Me,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_084,": Bitch How TF You Go Tell Me Waat Im Is"" **AM Not Is",negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_085,I'm as sweet as can be just don't piss me off. !,negative,A1_Osakpolor,single_annotator,False,negative,negative,neutral,neutral,negative,neutral
A1_086,Been n da house since I messed my leg up I'm gettin out 2mara,positive,A1_Osakpolor,single_annotator,False,positive,negative,neutral,negative,neutral,negative
A1_087,Attitude den got worst n in uh min i might lose it,negative,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_088,"Anybody watching the VMA's right now??? If you are, do yo boy a favor and drop me a line when its time for Katy Perry's performance. Lbs",positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,neutral,neutral,neutral
A1_089,Niggas don't care about the government shutdown but if u tell them A&M homecoming is cancelled they'll be flipping shit over,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_090,To have sex once and you act like this lol smh but let her tell it nvm!!!,negative,A1_Osakpolor,single_annotator,False,neutral,negative,neutral,negative,negative,negative
A1_091,Mann i swear mfs gone hate they did me they way they did..,negative,A1_Osakpolor,single_annotator,False,negative,negative,positive,negative,negative,negative
A1_092,that line makes me crack the hell up when I hear it. Who the hell puts that in a song.,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_093,"The woman give her audience a laptop, printer, voucher fot Zapos, a weekend at the beat hotel.",positive,A1_Osakpolor,single_annotator,False,positive,positive,neutral,positive,neutral,positive
A1_094,promise that was the first tweet I seen. Lmao u play too much,positive,A1_Osakpolor,single_annotator,False,positive,negative,positive,negative,negative,negative
A1_095,Let Me Text My Mother An See If She Put The Money On My Card,neutral,A1_Osakpolor,single_annotator,False,negative,neutral,neutral,neutral,neutral,neutral
A1_096,I understand a lot of ppl don't like me. I still sleep good at night,positive,A1_Osakpolor,single_annotator,False,positive,neutral,neutral,neutral,positive,neutral
A1_097,I got front row at roseland but I'm not risking it this time,neutral,A1_Osakpolor,single_annotator,False,negative,negative,positive,neutral,neutral,negative
A1_098,Hate wen MFa'z stand an watch u clean but WNNA tell u 2 do more LIK dey cnt help JS,negative,A1_Osakpolor,single_annotator,False,positive,negative,neutral,negative,negative,negative
A1_099,That niggah that just told you that you was beautiful is ugly af BB,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_100,I have a huge problem with a mf TELLING me I'm single and then a few days or hours even minutes later act like they didn't say the shit,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_101,Ctfuu jahde gone be mad ascell when she check her twitter,positive,A1_Osakpolor,single_annotator,False,ERROR,negative,negative,negative,negative,negative
A1_102,Bout to hop in da shower then head to bed I guess,positive,A1_Osakpolor,single_annotator,False,negative,neutral,neutral,neutral,neutral,neutral
A1_103,. Church and yea respect yall gone sweep the bucks we gone see yall in the East conference finals,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_104,U must really be interested wit wats on my ig if yo ass go ALL da way down my pics,positive,A1_Osakpolor,single_annotator,False,ERROR,negative,neutral,negative,negative,negative
A1_105,I just came across Gina and Pam music video for don't ask my neighbor lol I forgot about this.,positive,A1_Osakpolor,single_annotator,False,positive,neutral,neutral,neutral,neutral,neutral
A1_106,Mane I got my granddaddy blood in me....#He was a pimp before he was killed,positive,A1_Osakpolor,single_annotator,False,positive,negative,negative,negative,negative,negative
A1_107,I just got u twice in a row wanna try again,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,neutral,neutral,neutral
A1_108,Iont know who sang det song! Det shit go in doe!,positive,A1_Osakpolor,single_annotator,False,negative,positive,neutral,positive,negative,negative
A1_109,I just got out the bed to take a shower and then now I'm back in the bed!,neutral,A1_Osakpolor,single_annotator,False,positive,neutral,neutral,neutral,neutral,neutral
A1_110,Bout to go curl up under my man and eat and watch movies all night..... off tha next 2 days so I'm bout to chill,positive,A1_Osakpolor,single_annotator,False,neutral,positive,neutral,positive,positive,positive
A1_111,Shanice blows me wen she on the phone she always gotta be loud & extra da hell #Shink,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,positive,negative
A1_112,Lol how can you talk when you being the same way,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_113,He came and got the bike from my house and got booked right after that ! smh,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_114,Anywho.. I need to hit the mall today who coming with me?,neutral,A1_Osakpolor,single_annotator,False,neutral,positive,neutral,neutral,neutral,neutral
A1_115,Its 2013' Not Playing Games With Shit This Year Nbs Dnt Wanna Loose This Relationship But Realy Ion Give Ah Fuk About It :(But I Love Her :),negative,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_116,"Why is the body designed to feel hungry but don't feel cooking I just wanna know , lls",positive,A1_Osakpolor,single_annotator,False,neutral,negative,positive,neutral,negative,neutral
A1_117,see I'm talkin bout Felicia dat b sayin slow for yo love c now u actin slow,negative,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,neutral,negative
A1_118,I Let Love Go Ta Waist Caus I Aint Kw Wat Love Was,negative,A1_Osakpolor,single_annotator,False,negative,negative,positive,negative,neutral,negative
A1_119,lol i just thought about that day you told me yo mom picked up yo phone and was like who is this when she seen my pic,positive,A1_Osakpolor,single_annotator,False,positive,positive,neutral,neutral,neutral,neutral
A1_120,It is. I go to the Smithsonian at least once a month. They always have a new exhibit going on,neutral,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_121,Lls I'm good yo I'm good it just comes out sometimes,positive,A1_Osakpolor,single_annotator,False,negative,neutral,neutral,neutral,neutral,neutral
A1_122,your so gay lol x whenever Nigga never showed up last time,positive,A1_Osakpolor,single_annotator,False,positive,negative,neutral,negative,negative,negative
A1_123,"I was fenna cry then I hold back all them tears "" geremiah",neutral,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_124,"I can't stand her mom, dude. She think Tod a house painter or some shit.",negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_125,I've never seen such a un-physical Michigan football team in my life.,negative,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_126,Richard && domo tryna be funny . I put Money on it ' that anything they up there screamin they WONT Say it TO Tony,negative,A1_Osakpolor,single_annotator,False,positive,negative,negative,negative,neutral,negative
A1_127,"Lol damn brahh what's going on, Everybody Dogging Each Other School lol",positive,A1_Osakpolor,single_annotator,False,negative,negative,neutral,neutral,negative,neutral
A1_128,omw 2 order my cake! wish I can eat it 2day look,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_129,thanks bud! Nothing better than sharing Gods word. It's all Him!,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_130,We really can't believe that the down low only applys to men,neutral,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_131,Damn some body always find a way to piss me off,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_132,Smiling in my face .. whole time you wanna take my place <,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_133,Ppl plates on the gram be lookin like some straight trash keep that shit in house!!!,negative,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_134,Send word back to D-nunn HANNNN we got em ManDown boy,positive,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,positive,positive
A1_135,Love Bruno's voice! Why does his whole band look like Miguel? #grammys,positive,A1_Osakpolor,single_annotator,False,neutral,positive,neutral,positive,positive,positive
A1_136,"Hadta Be The First Thing I Tweeted, That Shit Been In My Head All Night..",neutral,A1_Osakpolor,single_annotator,False,negative,negative,positive,negative,negative,neutral
A1_137,I am the only one in my inner circle that is having a child.,neutral,A1_Osakpolor,single_annotator,False,positive,neutral,neutral,neutral,neutral,neutral
A1_138,lmao I ain't no event planner go to a strip club throw some ones,positive,A1_Osakpolor,single_annotator,False,positive,negative,negative,neutral,negative,neutral
A1_139,Just got my ass jumped. It's ova with after the bell.,negative,A1_Osakpolor,single_annotator,False,positive,negative,negative,negative,negative,negative
A1_140,My Hubby New Name Is Benny lol So Benny I Love You,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_141,"they say some things come and go, & some stick still, why get stuck find solutions and keep it moving.. The days are priceless",positive,A1_Osakpolor,single_annotator,False,positive,positive,neutral,positive,positive,positive
A1_142,Never begged for a nigga. Tf? & be lying like a mf. Got me fucked,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_143,I hate this new twitter shit all these lines an shit lol,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_144,Power Trip <<<<<<< And We Had A Connection To This Song FUCK NO.!,negative,A1_Osakpolor,single_annotator,False,positive,negative,negative,negative,negative,negative
A1_145,#2013TaughtMe who my real family was. Even your own blood would pray on your downfall,negative,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_146,": In a relationship, sex isn't everything....BUT i want lots of it!!!!",positive,A1_Osakpolor,single_annotator,False,neutral,positive,neutral,positive,negative,positive
A1_147,Girl yes you shoulda seen his ass at whataburger last night freakin hilarious,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_148,": Touching base with the girl with the drive.... Nothing can stop you..... #POW""- xoxo :)",positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_149,ROLL UP BITCH WE SOME SHOOTERS . WE A STICK YOU UP BITCH WE THE GLUE BOYS . HA THEY BROKE & it's sad LMAO,negative,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_150,Yes! I'm so glad this barista nice! Made it right when they were closing! #Starbucks #HotChocolate,positive,A1_Osakpolor,single_annotator,False,negative,positive,positive,positive,positive,positive
A1_151,Lol i don't blame people. But my ma said she wasn't surprised.,neutral,A1_Osakpolor,single_annotator,False,neutral,neutral,negative,neutral,neutral,neutral
A1_152,I know that's how stupid them hoes be looking too !!! & stop being funny,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_153,A lime to a lemon my jet set women I stop by we be chillin I get high with them,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,neutral,neutral,positive
A1_154,"Look me in my face,do it look like I got worries.......um hell naw #blessed",positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_155,"Tyler Perry Movie Temptation was off da chain completely love it, Awesome movie, will watch it 2x no lie.....",positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_156,no damn well gonna wake and yo hair gonna be every where,neutral,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_157,november 30th my bday can u perform heres my email and number 3137688238 mzpurple1130 .com,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,neutral,neutral,positive
A1_158,everybody u go out with dont have to b ya boo,neutral,A1_Osakpolor,single_annotator,False,neutral,neutral,neutral,negative,negative,negative
A1_159,Imma have a dead dog soon if I come home and catch this nigga in my bed again,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_160,Ion even talking at all cause you pussy ass niggas already no,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_161,lol Lul ahh pull up Lul ahh whip she mad Kalaa,negative,A1_Osakpolor,single_annotator,False,negative,positive,negative,neutral,neutral,positive
A1_162,": lmao!!! Ur ass too stupid!!!!""thats u! I aint done nuthin. Thats u wakin up talkin nasty",positive,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_163,Would u take 2 grams of shake b4 a regular gram?,neutral,A1_Osakpolor,single_annotator,False,neutral,neutral,negative,negative,neutral,neutral
A1_164,Ik Ik Im Finna Do My Bio Right Quick Dead Ah,neutral,A1_Osakpolor,single_annotator,False,ERROR,neutral,negative,neutral,neutral,positive
A1_165,I will have you hitting Mariah Carey high notes on a regular ....,positive,A1_Osakpolor,single_annotator,False,positive,negative,positive,positive,positive,positive
A1_166,I forgot time went back so now im at school to MF EARLY........ -.- n i was wonding why my mother was happy....,positive,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_167,I was sleeping good as hell intell my mommy woke me up,neutral,A1_Osakpolor,single_annotator,False,positive,negative,negative,negative,neutral,positive
A1_168,I need to get my ass up... My sweets off work!!! ;-),positive,A1_Osakpolor,single_annotator,False,positive,positive,negative,positive,negative,positive
A1_169,I Don't Care Anymore! I Won't Share Anymore How I Feel Is None Of Yo Concern Anymore!,negative,A1_Osakpolor,single_annotator,False,neutral,negative,negative,negative,negative,negative
A1_170,They trying to make me change my room around like no,negative,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_171,u gt sum shit u wanna say look.like u subtweetin watz poppin.kuz u just kame round so u kan fal bak tryin play defensive player,negative,A1_Osakpolor,single_annotator,False,ERROR,negative,positive,negative,negative,negative
A1_172,I am ruined. Scandal has ended it 4 me. how am I to look at any couple on TV again & take them seriously??,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_173,I'm lowkey just chilling oss fuck tryna find somebody shit will come in due time,neutral,A1_Osakpolor,single_annotator,False,negative,neutral,positive,neutral,negative,neutral
A1_174,Well I think cuz I haven't been talking to know body,neutral,A1_Osakpolor,single_annotator,False,negative,negative,positive,negative,neutral,negative
A1_175,"I've got a movie idea called how to lose your purse in 24 hours"". It involves myself and lots of tequila.",positive,A1_Osakpolor,single_annotator,False,negative,negative,negative,neutral,neutral,neutral
A1_176,"A girl ask you was you cheating and you be so frustrated that you reply I don't know"" lol",positive,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_177,Everybody kpp say how thy gne change ths year fuck tht im sty the way i im,negative,A1_Osakpolor,single_annotator,False,ERROR,negative,negative,negative,negative,neutral
A1_178,"If all we're doing is fucking, why would you think that imma change some of my ways for you?",negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_179,Me Cashy Cash and Dominique goin to see scary movie 5. Tryna see who else goin with us,positive,A1_Osakpolor,single_annotator,False,negative,positive,neutral,positive,neutral,neutral
A1_180,Mf'ers lucky I ain't a fuckn nigga cuz they think shit sweet but its cool cuz God knows wht it is and thts all tht matters PERIOD!!!!!!,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
