annotator,aae_speaker_identity,regional_background,regional_background_notes,written_aae_familiarity,acknowledgement_consent,acknowledgement_name,item_index,sample_type,aae_text,sae_text,aae_back_text,special_mark,unintelligible_original,semantic_equivalence,sentiment_preservation,semantic_change_notes,original_naturalness,back_naturalness,sentiment,surface_toxicity,completed,last_updated
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,11,unique,you just have to know what makes them happy when they lookin down . One day smh one day,"You just have to know what makes them happy when they are looking down. One day, shaking my head, one day.","You just gotta know what make em happy when they lookin down. One day, smh, one day.",,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-17T22:14:01.488Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,12,unique,"!! : Before you take her for granted and mistreat her, realize that there's no other girl like your girl in the entire world.","Before you take her for granted and mistreat her, realize that there is no other girl like your girl in the entire world.","Before you take her for granted and do her wrong, just know ain't no other girl like yo girl in the whole world.",,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-05-17T22:15:34.185Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,13,unique,Det subway hit da spot. I ain ate all fckin day,That Subway hit the spot. I haven't eaten all fucking day.,That Subway hit the spot. I ain't ate all fucking day.,yes,,same_meaning,yes,,natural,somewhat_natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-17T22:18:30.635Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,14,unique,Need to get up early in the am but dnt see that happening..,"I need to get up early in the morning, but I do not see that happening..","I gotta get up early in the morning, but I don't see that happenin..",,,same_meaning,yes,,natural,unnatural_or_imitated,neutral,no_potentially_toxic_wording,yes,2026-05-17T22:21:25.184Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,15,unique,"Turn to your neighbor and say, Neighbor, I'm glad you're here!""nnWhat's good my people. I'm glad we're all here. Thankful actually.","Turn to your neighbor and say, ""Neighbor, I'm glad you're here!"" How is everyone doing? I'm glad we're all here. I am actually thankful.","Turn to your neighbor and say, ""Neighbor, I’m glad you here!"" How everybody doing? I’m glad we all here. I’m actually thankful.",,,meaning_changed,yes,"""What's good my people?"" = a communal and energetic greeting
""How is everyone is doing?"" = genuine checkup on people's wellbeing. ",somewhat_natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-17T22:25:44.815Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,16,unique,HEY UGLY I MISS YHU.... I'M GETTING MY NEW PHONE SOON.... IMA TXT YHU FAV... && I TRIED CALL-IN OFF MY HOUSE PHONE,"Hey ugly, I miss you. I'm getting my new phone soon. I am going to text you, favorite, and I tried calling from my house phone.","Hey ugly, I miss you. I'm gettin my new phone soon. I'ma text you, fave, and I tried callin from my house phone.",,,same_meaning,yes,,natural,somewhat_natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-17T22:28:39.686Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,17,unique,"Nigga ill throw yall some money ol lil ass runts, tryna save ya weed smoking lil ass blunts","Man, I’ll throw you guys some money, you puny little runts, trying to save your weed by smoking those tiny little blunts.","Man, I’ma throw y’all some bread, you lil bitty runts, tryna save yo weed smokin them lil ass blunts.",,,same_meaning,yes,,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-17T22:31:59.861Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,18,unique,These hoes most of these niggas go broke for these hoes,These women; most of these men go broke for these women.,These hoes; most these niggas go broke for these hoes.,,,same_meaning,yes,,natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T03:54:44.968Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,19,unique,I don't think my father will ever truly understand what he's done...,Standard American English translation: I don't think my father will ever truly understand what he has done.,I don’t think my daddy ever gon' truly understand what he done.,,,same_meaning,yes,,unnatural_or_noisy,natural,negative,no_potentially_toxic_wording,yes,2026-05-18T03:57:04.545Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,20,unique,I miss my Nana :( I use to be a spoiled brat by her!!!!,I miss my Nana. I used to be a spoiled brat because of her!,I miss my Nana. I used to be a spoiled brat cause of her!,,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-18T04:00:56.967Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,21,unique,Question for my make-up junkies...what is a good bb cream & is it better than a tinted moisturizer?,"I have a question for my makeup enthusiasts: what is a good BB cream, and is it better than a tinted moisturizer?","I got a question for my makeup gurus: what’s a good BB cream, and is it better than a tinted moisturizer?",,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,neutral,no_potentially_toxic_wording,yes,2026-05-18T04:01:37.833Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,22,unique,"What up, what up, what up, what uuuuupppppp? *girlie voice* Morning tweeps, u miss me? Pls say yes. Lol :)","What’s up, what’s up, what’s up, what is uuuuup? *high-pitched voice* Good morning, Twitter friends! Did you miss me? Please say yes. LOL :)","Whassup, whassup, whassup, what is uuuuup? *high-pitched voice* Good morning, Twitter fam! Y’all miss me? Please say yes. LOL :)",,,meaning_changed,yes,"- ""Girlie voice"" more references someone speaking in a more feminine tone, and the tweeter includes it to make people frame what they said in a more feminine tone. 
- ""High-pitched voice"" removes the gender specificity of the original comment. ",natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-18T04:06:45.340Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,23,unique,As if I needed any more confirmation on my calling...there you go...You're amazing God. I Love You.,"As if I needed any more confirmation of my calling... there it is. You are amazing, God. I love you.","Like I needed any more confirmation of my calling... there it is. You amazing, God. I love you.",,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-18T04:09:40.815Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,24,unique,I wouldn't give that bum bitch a box of saw dust,I wouldn't give that worthless woman a box of sawdust.,I wouldn’t give that trifling woman a box of sawdust.,,,meaning_changed,yes,"- ""bum"" refers to more of a behavioural connotation that points to someone's lack of ambition and potential. 
- ""worthless"" is more a broad judgement of someone's human value. Being a ""bum"" does not mean your ""worthless"" ",natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-05-18T04:14:32.785Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,25,unique,u had no argument either time because both times u battled shit that didn't have nuthin to do w my original tweet,You had no argument either time because both times you argued against things that had nothing to do with my original tweet.,You ain't had no argument either time cuz both times you was arguin' against stuff that ain't have nothin' to do with my original tweet.,,,same_meaning,yes,,natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T04:17:12.405Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,26,unique,I'll catch a case if my phone die in this car. We got car chargers tho im good.,"I will get into trouble if my phone dies in this car. We have car chargers, though, so I am fine.","I'ma get in trouble if my phone die in this car. We got car chargers, though, so I'm straight.",,,meaning_changed,yes,"- ""I'll catch a case"" refers to how the tweeter is willing to go to jail if the following events occur. 
- ""I will get into trouble"" loses the specificity and the description of truly how far the tweeter is willing to go if the following events occur. ",natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-18T04:23:39.938Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,27,unique,"you mean glasses, & I told you imm give you $5 lls","You mean glasses, and I told you I am going to give you $5. (laughing)","You mean glasses, and I told you I'ma give you $5. (laughing)",,,same_meaning,yes,,natural,somewhat_natural,positive,no_potentially_toxic_wording,yes,2026-05-18T04:26:50.429Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,28,unique,Ill put anything on tgese social netwrks and it get u every time,"I’ll put anything on these social networks, and it gets you every time.",I’ll put anything on these social networks and it get you every time.,yes,yes,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-18T04:30:13.366Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,29,unique,Pats lost? Good day. (I feel like that game went by so quickly),The Patriots lost? Good day. (I feel like that game went by so quickly.),The Patriots lost? Good day. (I feel like that game went by so fast.),,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-18T04:30:45.412Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,30,unique,"If I only what've know this back then, I would've been doing me. Shit butch it ain't no fun if the homie can't have none","If I had only known this back then, I would have been focusing on myself. Damn, it’s no fun if your friends can’t have any.","If I only knew this back then, I woulda been focusing on myself. Damn, it ain’t no fun if your friends can’t have none.",,yes,meaning_changed,yes,"- ""the homie"" here is a self-reflective statement that is referring to the tweeter himself, and alluding to the fact that he views himself as the friend who is being left out or missing out on the rewards.
- ""your friends"" loses that meaning because it makes it seem like the tweeter is talking about separate friends.",natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T04:42:50.214Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,31,unique,If you are going to run please don't fumble #chiefs #steelers,"If you are going to run, please do not fumble. #Chiefs #Steelers","If you gon' run, please don't fumble. #Chiefs #Steelers",,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,neutral,no_potentially_toxic_wording,yes,2026-05-18T04:45:25.904Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,32,unique,Yep just kinda realize I'm a switchy person with my mood,"Yes, I just kind of realized that I am a person whose moods change frequently.","Yeah, I just kind of realized I'm the type of person whose moods be switching up.",,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-18T04:46:46.714Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,33,unique,Never pray on some body down fall you'll catch yourself falling down with them,Never pray for someone's downfall; you will find yourself falling down with them.,Don't never pray for nobody downfall; you gon find yourself falling down with 'em.,,,same_meaning,yes,,unnatural_or_noisy,natural,negative,no_potentially_toxic_wording,yes,2026-05-18T04:48:44.127Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,34,unique,Was tryin to blow wit ma fav bt he gne 2da crib,"I was trying to smoke with my favorite person, but he went home.","I was tryna smoke wit my favorite person, but he went home.",,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-18T04:51:29.755Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,35,unique,Words of wisdom. Don't call yo spouse with the soul purpose of bitching,Words of wisdom. Don't call your spouse with the sole purpose of complaining.,Words of wisdom. Don't be calling your spouse just to complain.,,,same_meaning,yes,,natural,natural,neutral,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T04:56:59.188Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,36,unique,"When you feel like you're facing problem after problem, just Go Hard and Never give up!","When you feel like you're facing problem after problem, just give it your all and never give up!","When you feel like you going through it and it's one thing after another, just give it all you got and don't never give up!",,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-18T04:58:09.466Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,37,unique,Girls that go out or went out with a lotta niggas <<<<<<<<<<<<<<<,Girls who date or have dated many men are far less desirable.,Girls who date or done dated a lot of men way less desirable.,,,same_meaning,yes,,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T05:00:34.929Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,38,unique,yo I might be on some next shit but it sounds like omarion on the hook,"I might be on another level, but it sounds like Omarion is on the hook.","I might be on another level, but sound like Omarion on the hook.",yes,yes,meaning_changed,yes,"- "" I might be on some next shit"" refers to the idea that the tweeter is saying that ""I might be crazy for thinking this"" 
- ""on another level"" refers to something completely different than what the AAE is trying to say, as that's something that sounds more related to personal growth. ",natural,unnatural_or_imitated,neutral,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T05:04:55.910Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,39,unique,It's going down...it's going down... it's going down... lil bitch!!!,It is going down... it is going down... it is going down... you little bitch!,It’s goin down... it’s goin down... it’s goin down... you lil bitch!,yes,yes,meaning_changed,no,"- The addition of ""you"" to the ""lil bitch"" changes the meaning as it makes it seem like the tweeter is directly insulting another person.
- The original ""lil bitch"" was likely referring to someone whom the tweeter viewed as a ""lil bitch,"" but they are not demeaning them and calling them a ""little bitch.""  ",natural,somewhat_natural,neutral,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T10:46:40.000Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,40,unique,I'm a movement by myself...but I'm a force when were together,I'm a movement by myself... but I'm a force when we're together.,I'm a movement by myself... but I'm a force when we together.,,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-18T10:48:02.370Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,41,unique,I'm the same dude but I just gave up on A LOT OF STUFF . & changed my ways,"I am the same man, but I have just given up on a lot of things and changed my ways.","I’m the same man, I just done gave up on a lot of things and changed my ways.",,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-05-18T10:49:51.396Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,42,unique,Look at this cute outfit that I have just put together in Movie Star! nn In Movie Star you can style your model and share them with you,"Look at this cute outfit that I just put together in Movie Star! 

In Movie Star, you can style your model and share it with others.","Look at this cute fit I just put together in Movie Star! In Movie Star, you can style your model and share it with everyone else.",,,same_meaning,yes,,unnatural_or_noisy,somewhat_natural,positive,no_potentially_toxic_wording,yes,2026-05-18T10:50:58.885Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,43,unique,What she told me last night had me up thinking all damn night .....,What she told me last night kept me awake thinking all night long.,What she told me last night had me up thinkin all night.,yes,yes,same_meaning,no,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-18T10:55:29.227Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,44,unique,Dem Thangs Been Gne Lil Cuzz I Ate Bout 9 Of Dem!!,"Those things have been gone, little cousin; I ate about nine of them!!","Them things been gone, lil cousin; I ate like nine of 'em!!",,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-18T10:57:26.148Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,45,unique,"laughing at Crystal slow self. She asked me, DO I SUCK THE MEAT OFF THE CHICKEN BONE OR DO I EAT IT?"" lmao","I am laughing at Crystal’s slow self. She asked me, ""DO I SUCK THE MEAT OFF THE CHICKEN BONE OR DO I EAT IT?"" LMAO.","I’m laughin at Crystal slow self. She asked me, ""DO I SUCK THE MEAT OFF THE CHICKEN BONE OR DO I EAT IT?"" LMAO.",,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-18T10:58:29.838Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,46,unique,She goin my that azz clap like for a real nigga like right now,She is going to make that ass clap for a real man right now.,She finna make that ass clap for a real nigga right now.,yes,,meaning_changed,no,"- ""real nigga"" does not necessarily equate to a real man, as the tweeter is referring to themself as the ""real nigga"" which they are speaking about.
- It may be two seperate sentences, rather then ""my"" = ""make"" which means fundamentally the SAE translation would be wrong. 
- As it'd be instead: ""she goin. that azz clap like for a real nigga like right now"" 
- ""She goin"" means that the lady who is being referred to is willing to have sexual intercourse with them.",natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T11:05:35.054Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,47,unique,Thank you my savior for making me one of your prized master pieces. I will do my best to liveup to this prestigious honor,"Thank you, my Savior, for making me one of your prized masterpieces. I will do my best to live up to this prestigious honor.","Thank you, my Savior, for makin me one of your prized masterpieces. I’ma do my best to live up to this prestigious honor.",,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-18T11:06:13.935Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,48,unique,"life is doin its thing...im tryin do mine and coexist u feel me..lol, wbu?","Life is doing its thing; I am trying to do mine and coexist, do you understand? Lol, what about you?","Life doin its thing; I'm tryna do mine and coexist, you feel me? Lol, what about you?",,,meaning_changed,yes,"- ""U feel me"" is more of an question of asking if the person they are talking to relates and is not asking the person if they understand. ",natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-18T11:07:42.581Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,49,unique,", you can tell if a nigga packing by his walk BOL",You can tell if a man is carrying a weapon by the way he walks. Laughing out loud.,You can tell if a man strapped by the way he walk. Lol.,yes,yes,meaning_changed,yes,"- The meaning that is lost that the term ""packing"" could be referencing to the idea of someone carrying/having a large penis in comparison to it being about a gun! 
- Needs more context, but this is another way to view it! ",natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T11:11:44.777Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,50,unique,He like loses it totally outta control but I could handle it,"He totally loses it and is out of control, but I can handle it.","He be losin it and he out of control, but I can handle it.",,,same_meaning,yes,,somewhat_natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-18T11:13:22.123Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,51,unique,"Drakyla, Scoop, and Marcus are the only people who call me by my last name which is Ingram","Drakyla, Scoop, and Marcus are the only people who call me by my last name, which is Ingram.","Drakyla, Scoop, and Marcus the only ones that call me by my last name, which is Ingram.",,,same_meaning,yes,,unnatural_or_noisy,somewhat_natural,neutral,no_potentially_toxic_wording,yes,2026-05-18T11:14:17.035Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,52,unique,I should be studying for this test Tuesday and finishing my workbook work,I should be studying for this test on Tuesday and finishing my workbook assignments.,I pose to be studyin for this test Tuesday and finishin my workbook assignments.,,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,neutral,no_potentially_toxic_wording,yes,2026-05-18T11:15:50.559Z
