annotator,aae_speaker_identity,regional_background,regional_background_notes,written_aae_familiarity,acknowledgement_consent,acknowledgement_name,item_index,sample_type,aae_text,sae_text,aae_back_text,special_mark,unintelligible_original,semantic_equivalence,sentiment_preservation,semantic_change_notes,original_naturalness,back_naturalness,sentiment,surface_toxicity,completed,last_updated
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,12,unique,Yep GOD is good and PATIENCE is the key...jus got aprroved on a car for little of nothing!!,"Yes, God is good and patience is the key... I just got approved for a car for next to nothing!!","Yes, God is good and patience the key... I just got approved for a car for the low!!",,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-13T18:58:22.572Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,13,unique,just seen my babymama and my bestfriend but they had leve,"I just saw the mother of my child and my best friend, but they had left.","I just seen my baby mama and my best friend, but they was gone.",,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T01:33:14.447Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,14,unique,You better keep you a condom on and leave these broads in the streets...,You had better keep a condom on and leave these women in the streets.,You better keep a condom on and leave these women in the streets.,,,same_meaning,yes,,natural,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T01:34:38.541Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,15,unique,Pissd me off..wit his ugly black ass..and quit telling my kidsss u dey daddi dey know who dey faather is mr..cnt get it up,"He pissed me off with his ugly self. And stop telling my children you are their father; they know who their father is, mister. You can't even get it up.","He got me heated with his ugly self. And stop tellin my kids you they daddy; they know who they daddy is, mister. You can't even get it up.",,,partly_same_meaning,yes,,natural,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T01:35:54.665Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,16,unique,Omgosss is always tryna play me lOlx! I thought I was his sis.,"Oh my gosh, he is always trying to play games with me, lol! I thought I was his sister.",Omg he always tryna play games wit me lol! I thought I was his sister.,,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-15T01:45:26.358Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,17,unique,I need to get on the House of Lies and Homeland Bandwagon!,I need to join the bandwagon for House of Lies and Homeland!,I gotta hop on the bandwagon for House of Lies and Homeland!,,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-15T01:50:07.104Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,18,unique,"She ask me how I'm livin, I tell her im just chillin, because the story of my life was never givin to a bitch that was empty with ambition","She asks me how I am living; I tell her I am just chilling, because the story of my life was never given to a woman who lacked ambition.","She ask me how I'm livin; I tell her I'm just chillin, cause the story of my life ain't never been given to a woman who lacked ambition.",,,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T01:54:26.781Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,19,unique,We probably argue everyday but at the end if the day we both still two fools in love,"We probably argue every day, but at the end of the day, we are both still two fools in love.","We probably be arguing every day, but at the end of the day, we both still two fools in love.",,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-15T01:58:10.644Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,20,unique,"I be killin them bitches, i hope all dogs go to heaven.",I am constantly outshining those people; I hope all dogs go to heaven.,I’m steady outshining them folks; I hope all dogs go to heaven.,,yes,partly_same_meaning,yes,,natural,somewhat_natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-15T01:59:02.086Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,21,unique,": She smacking then she all on my chinn""lol Ikr ..... Gah just listen at ha","She is smacking her food and then she is all over my chin. Lol, I know, right? Gosh, just listen to her.","She smacking her food then she all on my chin. Lol, I know right? Man, just listen to her.",,,same_meaning,yes,,natural,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-15T02:03:19.776Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,22,unique,lol yesssss.... i been in the house in bed allll damn day..,"Lol, yes! I have been in the house in bed all damn day.","Lol, yeah! I been in the house in bed all damn day.",,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-15T02:04:27.526Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,23,unique,Got me feelin like I'm compared with these NOTHING ASS FEMALES you use to fuck with !!!,It makes me feel like I am being compared to those worthless women you used to sleep with!,It make me feel like I’m gettin compared to them worthless hoes you used to be fuckin with!,,,partly_same_meaning,yes,Doesn't explicitly mean sex,natural,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T02:06:22.273Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,24,unique,"Uhhh...Stomach At Wrk Killing Me,,,Hope Im Not Getting Sick....",Uhhh... my stomach is killing me at work; I hope I'm not getting sick.,Uhhh... my stomach killin me at work; I hope I ain't gettin sick.,,,same_meaning,yes,,somewhat_natural,somewhat_natural,negative,no_potentially_toxic_wording,yes,2026-05-18T16:42:30.723Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,25,unique,OM GOIN M.I.A. MAN I ANIT TRYNA KICC IT NOMO!,"I am going missing in action, man; I am not trying to hang out anymore!",I'm goin MIA man; I ain't tryna kick it no more!,,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-18T16:43:02.265Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,26,unique,You turned out to be exactly wat I thought u would ... How Foolish of me,You turned out to be exactly what I thought you would... how foolish of me.,You turned out exactly what I thought you was... look at me lookin stupid.,,,same_meaning,yes,,somewhat_natural,somewhat_natural,negative,no_potentially_toxic_wording,yes,2026-05-18T16:43:34.362Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,27,unique,Eli + nicks and/James jones or Luck + TY and nicks? Which combo fares better today?,"Eli, Nicks, and James Jones, or Luck, T.Y., and Nicks? Which combination fares better today?","Eli, Nicks, and James Jones, or Luck, T.Y., and Nicks? Which combo better today?",,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-18T16:44:33.245Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,28,unique,Goin to da movies who tryin to come...AMC in castleton,I am going to the movies. Who is trying to come? The AMC in Castleton.,I’m finna go to the movies. Who tryna come? The AMC in Castleton.,,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T02:25:34.602Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,29,unique,Thats when I gotta hide how I feel on the inside.,That is when I have to hide how I feel on the inside.,That’s when I gotta hide how I’m feelin on the inside.,,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T02:31:13.230Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,30,unique,I ain't got nobody to talk to might b K.O early .,"I don't have anyone to talk to, so I might go to sleep early.","I ain’t got nobody to talk to, so I might just go to sleep early.",,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T02:31:35.852Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,31,unique,Duh Jimmy can say it was NOT a 10 out of 10 becuz he has experience & u r a hood rat bitch with NO professionalism,"Obviously Jimmy can say it was not a 10 out of 10 because he has experience, and you are a hood rat bitch with no professionalism.","Obviously Jimmy can say it wasn't a 10 out of 10 cause he got experience, and you a hood rat bitch with no professionalism.",,,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T02:32:30.446Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,32,unique,"I geht on Twitter just too see all the shit you have too say about little ole me , I LOVE MY FANS(;",I get on Twitter just to see all the shit you have to say about little old me; I love my fans! ;),I get on Twitter just to see all the shit you got to say about lil ol me; I love my fans! ;),,,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T02:36:48.488Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,33,unique,2 of those 3 things fully relate to not having a running game lol you're proving my point,"Two of those three things are fully related to not having a running game, lol. You're proving my point.","Two of them three things fully related to not havin no running game, lol. You proving my point.",,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T02:40:40.346Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,34,unique,Yall Mite Az Well Crank Up Da SnowBall Truck 2moro Cuz Ima Jump Clean On Dat Bihh Wit Yall An Pick Em Out!! Kml,You all might as well start up the snowball truck tomorrow because I’m going to join you and pick some out!! LOL.,Y'all might as well start up the snowball truck tomorrow cuz I’m finna join y’all and pick some out!! LOL.,,yes,partly_same_meaning,yes,,natural,unnatural_or_imitated,neutral,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-18T16:46:56.937Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,35,unique,If i had a lil brother i swear hed hate me cause everytime im mad ill just go beat his ass.,"If I had a little brother, I swear he would hate me because every time I am mad, I would just go beat him up.","If I had a lil brother, I swear he would hate me cuz every time I’m mad, I would just go beat him up.",,,same_meaning,yes,,natural,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T02:46:47.033Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,36,unique,Swear I Talk To My Nigga Sista I SWEAR I Dnt,I swear I don't talk to my friend's sister; I swear I don't.,I swear I don't talk to my friend sister; I swear I don't.,,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T03:00:38.082Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,37,unique,omg lonte I'm a mess...& my twitter won't even let me post pictures,"Oh my God, Lonte, I'm a mess... and my Twitter won't even let me post pictures.","Omg Lonte, I'm a whole mess... and my Twitter ain't even letting me post no pictures.",,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-15T03:02:31.974Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,38,unique,shid crunk that shit back up tonight we waiting. On u,"Damn, turn that back up tonight; we are waiting on you.","Damn, turn that back up tonight; we waitin on you.",,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T03:03:10.478Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,39,unique,we can agree 2 disagree. But I'm no advocate to any woman thinking its ok 2 neva shut up and have a seat...,We can agree to disagree. But I am not an advocate for any woman who thinks it is okay to never be quiet and settle down.,We can agree to disagree. But I ain't for no woman who think it's okay to never be quiet and settle down.,,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-15T03:05:15.194Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,40,unique,Y'all just gimme a minute I'm finna make my TL jump,Everyone just give me a minute; I am about to make my timeline very active.,Y’all just give me a minute; I’m finna make my timeline real active.,,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T03:07:24.971Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,41,unique,I don't believe in coming back to work once I'm off. You cannot make me come here!,I do not believe in returning to work once I am off. You cannot make me come here!,I don't believe in goin back to work once I'm off. You can't make me come here!,,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T03:09:37.535Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,42,unique,No Nigga Alive That Got More Lyrics That Mr Hovie Hov #TrueTalk,There is no man alive who has more lyrics than Mr. Hovie Hov. #TrueTalk,Ain't no man alive got more lyrics than Mr. Hovie Hov. #RealTalk,,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-15T03:10:01.244Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,43,unique,#CakeBossKickoff baking/sweets for my family is always something that I enjoy cakes especially. it brings a smile to everyone!!! :-D,"#CakeBossKickoff Baking sweets for my family is always something that I enjoy, especially cakes. It brings a smile to everyone!!! :-D","#CakeBossKickoff Bakin sweets for my family sumthin I always enjoy, especially cakes. It bring a smile to everybody!!! :-D",,,same_meaning,yes,,natural,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-15T03:11:51.625Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,44,unique,"It's not my fault, they only come around when somebody die",It's not my fault; they only come around when somebody dies.,It ain’t my fault; they only come around when somebody die.,,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-15T03:14:14.302Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,45,unique,k michelle fb I lovee you girl yu be goin ham!!,"K. Michelle, I love you, girl! You are always going all out!","K. Michelle, I love you girl! You be going all out!",,,meaning_changed,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-15T03:17:16.056Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,46,unique,I can't call it cause I don't know too much lol,"I can't say for sure because I don't know very much about it, lol.","I can't say for sure cause I don't really know too much about it, lol.",,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T03:19:31.139Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,47,unique,"I love my sister , we have our disagreements but she been there for me!","I love my sister; we have our disagreements, but she has been there for me!","I love my sister; we have our disagreements, but she been there for me!",,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-15T03:22:26.614Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,48,unique,Mariah carey need to cry so she can release some fluid from them bags under her eyes lol,"Mariah Carey needs to cry so she can release some fluid from those bags under her eyes, lol.","Mariah Carey need to cry so she can release some fluid from them bags under her eyes, lol.",,,same_meaning,yes,,natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-15T03:25:05.605Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,49,unique,i get real nasty with these bitches when they make me mad.,I get very mean with these people when they make me angry.,I get real mean with these folks when they make me mad.,,,meaning_changed,yes,Referring to other women specfically ,natural,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T03:27:37.726Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,50,unique,She think she can beat me up now since she beat up a white girl lol !,"Standard American English translation: She thinks she can beat me up now since she beat up a white girl, lol!",She think she can beat me up now since she beat up a white girl lol!,,,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T03:29:19.929Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,51,unique,"- Heeeee Onnn Theeeee w. Otheeeer Bitchesss , Thaaan Heee Isss w. Meeee #Ressssspect",He is with other women more than he is with me. #Respect,He be with other women more than he be with me. #Respect,,,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T03:33:17.388Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,52,unique,Looking at all these people..bring at an event with Ariel's family..an combined family event for us will just be....Mannnnnn,"Looking at all these people at an event with Ariel's family, a combined family event for us would just be... man.","Lookin' at all these people at an event with Ariel family, a combined family event for us would just be... man.",,yes,partly_same_meaning,yes,,natural,unnatural_or_imitated,neutral,no_potentially_toxic_wording,yes,2026-05-15T03:45:56.476Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,53,unique,: That's the sweetest thing ever. Prepare them while they're young its grand. LOVEYA,That's the sweetest thing ever. Prepare them while they're young; it's grand. Love you.,That's the sweetest thing ever. Prepare 'em while they young; it's grand. Love you.,,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-18T16:47:24.761Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,54,unique,Wish I had a sit under dryer so I could deep condition my hair,I wish I had a sit-under dryer so I could deep-condition my hair.,I wish I had one of them sit-under dryers so I could deep condition my hair.,,,same_meaning,yes,,unnatural_or_noisy,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T04:01:28.125Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,55,unique,bomb in my sneaker but i understand if you're switching it up,"I have a bomb in my sneaker, but I understand if you are changing your behavior.","I got a bomb in my kicks, but I understand if you actin' different.",,yes,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,negative,no_potentially_toxic_wording,yes,2026-05-15T04:11:59.622Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,56,unique,I will never turn on my real ppl dat shit not in me!!!,I will never turn on the people who are true to me; that is not in my nature!!!,I'm never gon' turn on the people that's real with me; that just ain't in my nature!!!,,,same_meaning,yes,,natural,unnatural_or_imitated,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-15T04:15:23.238Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,57,unique,Who Am I with tomorrow? I don't want to go back on Puritan Bored and Stuck,Who am I with tomorrow? I don't want to go back to Puritan; I'm bored and stuck there.,Who I’m with tomorrow? Ion wanna go back to Puritan; I’m bored and stuck there.,,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-15T04:26:30.782Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,58,unique,i swear ima come with yu! we some thick madams bitch!,"I swear I am going to come with you! We are some curvy women, girl!","I swear I’m coming with you! We some curvy women, girl!",,,same_meaning,no,,natural,unnatural_or_imitated,positive,toxic_wording_with_toxic_meaning,yes,2026-05-18T16:48:12.045Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,59,unique,This lady just told me that I look like a #BlackBarbieDoll...I get that ALOT!,This lady just told me that I look like a #BlackBarbieDoll... I get that a lot!,This lady just told me I look like a #BlackBarbieDoll... I be gettin that a lot!,,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-05-15T04:54:15.416Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,60,unique,well how I get my music on yall blog just tweet it to yall??,"Well, how do I get my music on your blog? Do I just tweet it to you?",How I get my music on your blog? I just tweet it to you?,,,same_meaning,yes,,natural,unnatural_or_imitated,neutral,no_potentially_toxic_wording,yes,2026-05-15T04:55:02.673Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,61,unique,So I'm hoping I can get some time.. hoping like shyt,So I am hoping I can get some time; I am really hoping.,So I'm hopin I can get some time; I'm really hopin.,,,same_meaning,yes,,natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-15T04:55:27.624Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,62,unique,Lmaoo i totally agree..that shit was annoying n sounded ignorant,"LMAO, I totally agree. That was annoying and sounded ignorant.","LMAO, I’m saying. That was irking and sounded ignant.",,,same_meaning,yes,,natural,unnatural_or_imitated,negative,no_potentially_toxic_wording,yes,2026-05-15T04:55:54.760Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,63,unique,Stop Acting Perfect Like You Aint No On The Low Ratttt,Stop acting like you're perfect when you're secretly a snitch.,Stop actin' like you perfect when you lowkey a snitch.,,,meaning_changed,yes,Pretended not to know,natural,unnatural_or_imitated,negative,no_potentially_toxic_wording,yes,2026-05-15T04:56:57.076Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,64,unique,I shouldn't have to get angry get loud or twist ya arm scream n shout for love ...iy should b given,"I shouldn't have to get angry, get loud, or twist your arm, screaming and shouting for love; it should be given.","I shouldn’t have to get mad, get loud, or twist your arm, screaming and shouting for love; it sposed to be given.",,,same_meaning,yes,,natural,unnatural_or_imitated,neutral,no_potentially_toxic_wording,yes,2026-05-15T05:01:45.724Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,65,unique,Idk why I have been so aggravated today I just need to take a bath & go to sleep cuz my mood been <<<<<,I don't know why I have been so aggravated today; I just need to take a bath and go to sleep because my mood has been terrible.,Ion know why I been so aggravated today; I just need to take a bath and go to sleep cuz my mood been terrible.,,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-15T05:02:41.985Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,66,unique,It's been a long time coming this thing between you and me.,This thing between you and me has been a long time coming.,This thing between me and you been a long time coming.,,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-15T05:03:02.360Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,67,unique,lol fuck dat when a nigga lay hand on me they gotta feel it,"Lol, forget that; when someone lays a hand on me, they have to feel it.","Lol forget that; when somebody put they hands on me, they gotta feel it.",,,meaning_changed,no,I feel like intensity is lost,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-15T05:04:00.342Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,68,unique,In my mama room laying down .. Bored af .. Need somebody to text,I'm in my mother's room lying down. I'm bored as hell and need someone to text.,I'm in my mama room layin down. I'm bored as hell and need somebody to text.,,,same_meaning,yes,,natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-15T05:05:13.406Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,69,unique,I gotta alot of cries behind this frown But I still manage to move on Head still high intimidate by none ya feel me..,"I have a lot of tears behind this frown, but I still manage to move on. My head is still held high and I am intimidated by no one, do you understand me?","I got a lot of tears behind this frown, but I still manage to keep it movin. My head still held high and I ain't intimidated by nobody, you feel me?",,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-05-15T05:05:50.056Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,70,unique,Got sum killers wit me right now n yu dnt even kno it,I have some killers with me right now and you don't even know it.,I got some killers wit me right now and you don't even know it.,,,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-05-15T05:06:09.017Z
