annotator,aae_speaker_identity,regional_background,regional_background_notes,written_aae_familiarity,acknowledgement_consent,acknowledgement_name,item_index,sample_type,aae_text,sae_text,aae_back_text,special_mark,semantic_equivalence,sentiment_preservation,semantic_change_notes,original_naturalness,back_naturalness,sentiment,surface_toxicity,completed,last_updated
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,11,common,nahhh not yet imma listen to when I get home it's tough ?,"No, not yet. I’m going to listen to it when I get home. Is it good?","Nah, not yet. I’mma listen to it when I get home. It good?",,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T16:12:19.852Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,12,common,DAMN! MF thought they was about to get put out this morning!,Damn! That person thought they were about to be kicked out this morning!,Damn! That person thought they was finna get kicked out this morning!,yes,meaning_changed,no,Potentially could be referring to themselves and not another person. Lack of context.,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T16:15:56.228Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,13,common,Niggas mommas didn't care how they looked growing up I guess. Niggas used to ride me for ironing my clothes g lol. Just for ironing!,"I guess some guys' mothers didn't care how they looked growing up. Guys used to tease me for ironing my clothes, man, lol. Just for ironing!","I guess some dudes mamas didn't care how they looked growing up. Dudes used to tease me for ironing my clothes, man, lol. Just for ironing!",,same_meaning,yes,,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T16:17:45.242Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,14,common,Oh my ass! I'm fr gah damn you gone let me starve,"Oh, come on! I am serious; God damn, you are going to let me starve.","Oh, come on! I'm for real; goddamn, you finna let me starve.",,same_meaning,yes,,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T16:19:21.446Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,15,common,I almost 4got abt that one. 'Set Adrift On Memory Bliss is still my cut!,"Standard American English translation: I almost forgot about that one. ""Set Adrift on Memory Bliss"" is still my favorite song!","I almost forgot bout dat one. ""Set Adrift on Memory Bliss"" still my favorite song!",yes,same_meaning,yes,,somewhat_natural,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-04-24T16:22:42.694Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,16,common,One thing I won't allow is disrespect if you have to call me out my name you weak AF !,"One thing I will not tolerate is disrespect; if you have to call me names, you are extremely weak!","One thing I ain't toleratin' is disrespect; if you gotta call me names, you weak as hell!",,meaning_changed,no,,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T16:29:04.747Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,17,common,This nigga asked me to give him a S/o. I don't even know him. Lol,This guy asked me to give him a shout-out. I don't even know him. Lol.,This man asked me to give him a shoutout. Ion even know him. Lol.,,same_meaning,yes,,natural,natural,neutral,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T16:30:24.134Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,18,common,yeah and I got you 2marro on that 1 thing I hit them lol,"Yeah, and I've got you covered tomorrow on that one thing; I contacted them, lol.","Yeah, and I gotchu tomorrow on that one thing; I hit 'em up, lol.",,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T16:31:20.869Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,19,common,"That moment a guy moves into a chicks house and 1st time he says My crib"" makes me laugh everytime.","The moment a guy moves into a woman's house and the first time he says ""my house"" makes me laugh every time.","The moment a man move in a woman house and the first time he say ""my house"" have me dyin every time.",,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T16:32:48.103Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,20,common,I did u retard I smiled & Mouthed hay Lol I was coming back out once I finished putting my stuff up but u left!,"I did, you idiot; I smiled and mouthed ""hey."" Lol. I was coming back out once I finished putting my stuff away, but you left!","I did, you dummy; I smiled and mouthed ""hey."" Lol. I was coming back out once I was done putting my stuff up, but you left!",,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,neutral,toxic_wording_with_toxic_meaning,yes,2026-04-24T16:34:24.930Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,21,common,i finally got the job I have been after..10x baby it works....,"I finally got the job I have been seeking. Thanks, baby, it works.","I finally got the job I been looking for. Thanks, baby, it work.",,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-04-24T16:35:33.863Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,22,common,My baby my boss Cuz I jump at her Every wants and needs,My baby is my boss because I jump at her every want and need.,My baby my boss cause I be jumpin at her every want and need.,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T16:36:05.604Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,23,common,ioun care how nobody feel imaa have myy niggauh back stg,"I don't care how anyone feels; I'm going to have my friend's back, I swear to God.","I don't care how nobody feel; I’m gon have my friend back, I swear to God.",yes,meaning_changed,yes,Gender context matters. (Lack of) punctuation changes meaning.,natural,unnatural_or_imitated,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T16:38:36.425Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,24,common,Jerry gotta big ass brisk in the refrigerator yet he steady drinking up the soda -_- he ain't shit.. lol,"Jerry has a huge Brisk in the refrigerator, yet he is constantly drinking the soda. He’s no good. lol","Jerry got a huge Brisk in the fridge, but he steady drinkin the soda. He ain’t no good lol.",,same_meaning,yes,,natural,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-04-24T16:39:53.485Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,25,common,Sumtimes my baby be in a deep sleep and wont hear shit..,Sometimes my baby is in a deep sleep and won't hear anything.,Sometimes my baby be in a deep sleep and won’t hear nuthin.,,same_meaning,yes,,natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T16:41:34.165Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,26,common,steriods bitch ass and ord let grandaddy know when u get back in town,"Steroids, you coward, and alright, let Grandfather know when you get back in town.","Steroids, you a coward, and ight, let Granddaddy know when you get back in town.",yes,same_meaning,yes,,unnatural_or_noisy,natural,neutral,no_potentially_toxic_wording,yes,2026-04-24T21:19:09.965Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,27,common,My Gma 66 And Her Favorite Line To Hit Me Wit Is Who Tf Wana Be 70 n Alone,"My grandma is 66, and her favorite line to hit me with is, ""Who the fuck wants to be 70 and alone?""","My grandma 66, and her favorite line to hit me wit is, ""Who the fuck wanna be 70 and alone?""",yes,same_meaning,yes,,natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T17:14:46.730Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,28,common,on god they aint wit that shit. These hoes cant keep a solid.,"I swear, they aren't really about that. These people can't stay loyal.","I swear, they ain't really 'bout that. These folks can't stay loyal.",,meaning_changed,yes,,natural,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-04-24T17:15:42.367Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,29,common,Happy friday fellas an foxy ladiez!!! Hope itz filld wit fun an no foolishness or fuckery!!! HAVE AH GOOD DAMN DAY FAM:-),"Happy Friday, guys and ladies! I hope it's filled with fun and no foolishness or nonsense! HAVE A GREAT DAY, EVERYONE! :-)",Happy Friday fellas and ladies! Hope it’s filled with fun and no foolishness or nonsense! HAVE A GREAT DAY Y'ALL! :-),,same_meaning,yes,,natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T17:16:57.860Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,30,common,: It takes a real man to realize one woman is enough.,It takes a real man to realize that one woman is enough.,It take a real man to realize one woman enough.,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T17:19:15.290Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,31,common,Wilson gone . He brought that punch from deep. Braxton was putting in work too,Wilson is gone. He delivered that punch from a distance. Braxton was working hard too.,Wilson gone. He caught him from a distance. Braxton was putting in work too.,,partly_same_meaning,yes,Lack of context.,natural,somewhat_natural,positive,no_potentially_toxic_wording,yes,2026-04-24T18:00:40.044Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,32,common,Anyways I seen my Lil baby yesterday & he ain't wanna leave his auntie,"Anyway, I saw my little baby yesterday and he didn't want to leave his auntie.","Anyway, I seen my lil baby yesterday and he ain't wanna leave his auntie.",,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T18:01:21.986Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,33,common,Tired as hell and I got like a hour drive 2 the crib! SMH,I am exhausted and I have about an hour drive home. Shaking my head.,I’m exhausted and I got about a hour drive home. Smh.,,same_meaning,yes,,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T18:06:23.649Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,34,common,My after work nap was so powerful I might be awake til Sunday,My after-work nap was so powerful that I might be awake until Sunday.,That after-work nap was so real I might be up till Sunday.,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T18:08:28.447Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,35,common,People try to play me for a fool but I can never be a lame,"People try to treat me like a fool, but I could never be a loser.","Ppl try to treat me like a fool, but I could never be no loser.",,same_meaning,yes,,natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T18:17:16.026Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,36,common,I'm not I just feel yo passion for this cheese cake yo lol,"I'm not; I just feel your passion for this cheesecake, lol.","I ain't; I just feel yo passion for this cheesecake, lol.",,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T18:18:38.454Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,37,common,"mines wasn't swollen I it mines down almost 2 weeks ago ,",Mine was not swollen; I took mine down almost two weeks ago.,Mine wasn’t even swollen; I took mine down almost two weeks ago.,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T18:19:22.358Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,38,common,The only one I can just sit & talk told all day long,The only one I can just sit and talk to all day long.,The only one I can just sit and talk to all day.,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-04-24T18:20:12.151Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,39,common,"I took yo nigga , gave him back & bitch you still mad lol","I took your man, gave him back, and you are still mad. lol","I took yo man, gave him back, and you still mad. lol",,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-04-24T18:21:36.453Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,40,common,I'm tight i was calling the nigga mikhi i forgot he dont got a phone lol,"I’m annoyed; I was calling Mikhi, but I forgot he doesn’t have a phone. LOL.","I’m tight; I was callin Mikhi, but I forgot he don’t even got a phone. LOL.",,same_meaning,yes,,natural,natural,neutral,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T18:22:26.161Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,41,common,If i text her she gunna wanna call me for no reason smh,"If I text her, she is going to want to call me for no reason; shaking my head.",If I text her she gon wanna call me for no reason; smh.,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-04-24T18:25:50.237Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,42,common,"I swear if my dad don't get me this iPhone. Imma go tf off. I need a new phone fast, quick, and in a hurry.","I swear, if my dad doesn't get me this iPhone, I'm going to go off. I need a new phone immediately.","I swear, if my dad don't get me this iPhone, I'm finna go off. I need a new phone right now.",,same_meaning,yes,,natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T18:26:35.355Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,43,common,Well there goes the second shot! OMG I need to hear some police sirens,"Well, there goes the second gunshot! Oh my God, I need to hear some police sirens.","Well, there go the second shot! Oh my God, I need to hear some sirens.",,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,negative,no_potentially_toxic_wording,yes,2026-04-24T18:31:07.409Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,44,common,Not everybody knows how to work my body ...knows how to make me want it...but boy u stay up on it,"Not everyone knows how to work my body or knows how to make me want it, but you are always on top of it.","Everybody don’t know how to work my body or know how to make me want it, but you always on top of it.",,same_meaning,yes,,natural,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-04-24T18:32:20.901Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,45,common,Brock Lesnar is fucking crazy. Concussions are nothing to play with.,Brock Lesnar is absolutely insane. Concussions are not something to be taken lightly.,Brock Lesnar crazy for real. Concussions ain't nothing to be playing with.,,same_meaning,yes,,somewhat_natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T18:34:12.829Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,46,common,"It's not that it's hard though, I think those strategies they teach you in those books work though",It is not that it is hard; I think the strategies they teach in those books actually work.,It ain't that it's hard; I think them strategies they be teaching in them books actually work.,,same_meaning,yes,,unnatural_or_noisy,natural,neutral,no_potentially_toxic_wording,yes,2026-04-24T18:40:29.940Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,47,common,How great your faithfulness! I'm sticking with God (I say it over and over). He's all I've got left.,How great is your faithfulness! I'm sticking with God (I say it over and over). He's all I have left.,How great is Your faithfulness! I’m stickin’ with God (I say it over and over). He all I got left.,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T18:41:07.779Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,48,common,I if that nigga wanted you best believe he would of been wit u,"If that man wanted you, you’d better believe he would have been with you.","If that man wanted you, best believe he woulda been with you.",,same_meaning,yes,,natural,natural,neutral,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T18:41:43.488Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,49,common,2013 is my year i gats to get my money right,2013 is my year; I have to get my finances in order.,2013 my year; I gotta get my money right.,,same_meaning,yes,,natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T18:42:10.441Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,50,common,Gotta watch that word CONTROL when you come at me...i don't do 50/50 i do 100/100..but that controlling..lmao,"You have to be careful with the word ""control"" when you approach me. I do not do 50/50, I do 100/100, but that is controlling... laughing my head off.","You gotta be careful with that word ""control"" when you come at me. Ion do 50/50, I do 100/100, but that's controlling... lmfao.",,partly_same_meaning,yes,,natural,natural,neutral,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T18:43:40.417Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,51,common,I just know I want and need you. I dont wana loose you.,I just know I want and need you. I don’t want to lose you.,I just know I want and need you. I don’t wanna lose you.,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-04-24T21:20:11.318Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,52,common,Yoo me be his mother was on the phone for 2 hrs just laughing about mad shit,"Yo, his mother and I were on the phone for two hours just laughing about a lot of stuff.","Yo, me and his mama was on the phone for two hours just laughing about a whole lot of stuff.",,same_meaning,yes,,natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T18:57:15.426Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,53,common,Im One Of The #JacobJewels Street Team Leaders For Milwaukee! Which Is Koo Cuz Thats Jacobs Hometown ^_^,I am one of the #JacobJewels street team leaders for Milwaukee! This is cool because that is Jacob's hometown. ^_^,I'm one of the #JacobJewels street team leaders for Milwaukee! This cool cuz that's Jacob hometown. ^_^,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T19:01:04.264Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,54,common,Tattoo coming soon .. If I ever find a fucking parlor I trust,"A tattoo is coming soon, if I ever find a fucking parlor I trust.","Tattoo coming soon, if I ever find a fucking parlor I trust.",,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-04-24T19:03:21.017Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,55,common,Out the shower got tht #grownman swagg smell on...#workflow in a few,I just got out of the shower and have that #grownman scent on... I will be starting my #workflow in a few minutes.,Just got out the shower and got that #grownman scent on... finna start my #workflow in a few minutes.,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T19:43:38.980Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,56,common,shid nigha u Kno guwop ain't coming to that how alone,"Man, you know Guwop isn't coming to that house alone.","Man, you know Guwop ain't comin to that house alone.",,same_meaning,yes,,natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-04-24T19:45:47.372Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,57,common,": I wanna see that scary movie Friday and imma be smackkkedddd"" lol o yea?","""I want to see that scary movie on Friday and I am going to be very high."" Lol, oh really?","""I wanna see that scary movie Friday and I’m finna be high as hell."" Lol, oh for real?",,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T19:48:36.516Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,58,common,I hung up by mistake I txt y'all & told y'all to call back,I hung up by mistake; I texted you all and told you to call back.,I hung up on accident; I texted y'all and told y'all to call back.,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,neutral,no_potentially_toxic_wording,yes,2026-04-24T20:11:41.706Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,59,common,we Knucking & Bucking & Ready to fight . I bet Ya imma throw these HandS so hatas best ta Thank Twice . See me iAint nothing nice ...,"We are hyped up and ready to fight. I guarantee you that I am going to throw punches, so my haters had better think twice. You will see that I am not someone to be messed with.","We hyped and ready to scrap. I promise you I’m finna throw hands, so my haters better think twice. You gon see I ain’t the one to be played with.",,same_meaning,yes,,natural,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-04-24T20:14:56.392Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,60,common,Ladies please stop coming in here with the cap to your quickWeave showing. Me and will talk about you!!,"Ladies, please stop coming in here with your quick weave cap showing. We will talk about you!!","Ladies, please stop comin in here with your quick weave cap showin. We gon talk about you!!",,same_meaning,yes,,unnatural_or_noisy,natural,neutral,no_potentially_toxic_wording,yes,2026-04-24T20:15:41.766Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,61,common,I ain't got cable either. Reason why I'm watching the news,I don't have cable either. That's why I'm watching the news.,I ain't got cable neither. That's why I'm watchin the news.,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T20:16:00.311Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,62,common,Is im the only one that still like mercy song and video by kanye amd them ? Lol,"Am I the only one who still likes the ""Mercy"" song and video by Kanye and them? Lol","Am I the only one who still like the ""Mercy"" song and video by Kanye and nem? Lol",,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T20:23:29.317Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,63,common,"i didnt say you said that , i said you miss me",I didn't say you said that; I said you miss me.,I ain't say you said that; I said you miss me.,,same_meaning,yes,,unnatural_or_noisy,natural,neutral,no_potentially_toxic_wording,yes,2026-04-24T20:26:18.404Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,64,common,You only get one love in a lifetime... and I choose you,You only get one love in a lifetime... and I choose you.,You only get one love in a lifetime... and I'm choosin you.,,same_meaning,yes,,unnatural_or_noisy,somewhat_natural,positive,no_potentially_toxic_wording,yes,2026-04-24T20:29:23.377Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,65,common,Im going to sleep wen I get off the phone wit Quia!!,I'm going to sleep when I get off the phone with Quia!!,I'm finna go to sleep when I get off the phone with Quia!!,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T20:29:41.051Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,66,common,"BOY youu mean the WORLD too me, 'DONTAY youu all iEVER wanted & DREAMED of iLOVE youu","Boy, you mean the world to me. Dontay, you are everything I ever wanted and dreamed of; I love you.","Boy, you mean the world to me. Dontay, you everything I eva wanted and dreamed of; I love you.",,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T20:33:24.203Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,67,common,Me? Chillin...haven't got outta bed yet. I went pee tho does that count?,"Me? I'm relaxing... I haven't gotten out of bed yet. I went to the bathroom, though; does that count?",Me? I'm chillin... I ain't even got out of bed yet. I went to the bathroom though; that count?,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T20:34:16.749Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,68,common,my father god got me I refuse to let someone tell me my capabilities. only god knows and he knows my destination is success..,"My Father God has me; I refuse to let someone tell me what my capabilities are. Only God knows, and He knows my destination is success.","My Father God got me; I ain't letting nobody tell me what my capabilities are. Only God know, and He know my destination is success.",,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T20:35:00.097Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,69,common,I think I'm just gone chill an the house an wash an blow dry my hair,I think I'm just going to relax at the house and wash and blow-dry my hair.,I think I'm just gon relax at the house and wash and blow-dry my hair.,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T20:35:28.220Z
